"",n","p","q","success","bInit","b","i","time (µs)"
"","1196421704267","1051889","1137403","true","3","457736463321","59","300"
"","709931745119","662693","1071283","true","3","550073824577","2927","12015"
"","34800195319","32359","1075441","true","3","11387844750","4481","16438"
"","39908521589","1053301","37889","true","3","39290059443","37","209"
"","372782838479","373187","998917","true","3","59359870595","16963","63153"
"","85105163833","1269601","67033","true","3","80100278955","19","68"
"","292123263067","1020101","286367","true","3","48877119315","202","904"
"","245255797051","1018813","240727","true","3","170370201165","757","2277"
"","410899631861","954433","430517","true","3","385745550147","1657","5245"
"","337177421569","1011509","333341","true","3","315992934338","2381","9346"
"","3616331357","132763","27239","true","3","2366367713","109","659"
"","33507173573","414893","80761","true","3","28286378729","673","2339"
"","422973147797","645941","654817","true","3","316990361531","359","1184"
"","43668676351","51593","846407","true","3","31212950940","487","1376"
"","18587563177","125423","148199","true","3","12091529739","5701","18462"
"","69445362257","308999","224743","true","3","553726209","3593","12053"
"","455288378267","423649","1074683","true","3","413783485738","1471","5099"
"","24024529187","89963","267049","true","3","5961578122","1451","4836"
"","113261102417","342283","330899","true","3","42655992027","57047","213152"
"","566537779139","663161","854299","true","3","176213151438","281","921"
"","138771585793","225067","616579","true","3","98151493634","37511","151986"
"","468868472257","589181","795797","true","3","346704083194","283","1121"
"","68560469357","746659","91823","true","3","41530666899","419","1160"
"","14058568969","25367","554207","true","3","8197275738","569","1570"
"","43787391233","487507","89819","true","3","28614223366","2621","7616"
"","480784608709","412463","1165643","true","3","280089599559","761","3455"
"","1180273706107","956633","1233779","true","3","1063008676335","607","1961"
"","124467206933","966653","128761","true","3","62076193145","37","138"
"","250818928757","344167","728771","true","3","66192083618","359","1024"
"","767820534353","703673","1091161","true","3","172219031792","433","1294"
"","144079332359","178333","807923","true","3","70427455834","157","513"
"","227742385687","808351","281737","true","3","24387436458","43","190"
"","23840366171","693659","34369","true","3","1912634851","179","448"
"","10870159691","24107","450913","true","3","5228787149","61","320"
"","1179787936367","1245281","947407","true","3","468423655680","181","633"
"","582419253797","943157","617521","true","3","385857379330","83","329"
"","187984297121","158243","1187947","true","3","136563709001","127","376"
"","290727263","10607","27409","true","3","176486552","571","1663"
"","643273788991","1252073","513767","true","3","416631642146","33","111"
"","31455979979","527599","59621","true","3","28044883707","271","790"
"","797859147439","633001","1260439","true","3","80657620422","211","835"
"","167377878089","333209","502321","true","3","133767579980","23","99"
"","166686840011","689441","241771","true","3","48722795471","139","427"
"","90639501179","69899","1296721","true","3","73281593874","1801","5354"
"","113102996927","595351","189977","true","3","58268788424","14","64"
"","309485453383","648391","477313","true","3","110991978456","113","321"
"","957998236997","1019339","939823","true","3","11508337311","7607","29419"
"","1229438894989","1223029","1005241","true","3","698800856702","641","2154"
"","132382603","13229","10007","true","3","113557737","3307","9266"
"","23303273813","147151","158363","true","3","8284601301","109","413"
"","280867521089","366607","766127","true","3","204986471016","73","212"
"","47765020153","946573","50461","true","3","18164143405","58","298"
"","308698627931","753679","409589","true","3","173591115676","821","3282"
"","446690808451","769309","580639","true","3","82584865610","71","209"
"","992790921791","888061","1117931","true","3","637135812207","41","192"
"","107132702723","934343","114661","true","3","28623972041","14","57"
"","133386536333","294947","452239","true","3","119093109767","1657","5832"
"","221427527","3049","72623","true","3","29124049","127","331"
"","638676318437","704461","906617","true","3","221932688980","199","1335"
"","39012849763","418813","93151","true","3","2864486402","23","147"
"","86475414569","108917","793957","true","3","24588230585","373","1039"
"","38971010513","67927","573719","true","3","12742154223","11321","38355"
"","259061054249","434807","595807","true","3","152666010839","499","1533"
"","4194495293","5641","743573","true","3","4093261908","47","163"
"","213620579567","174347","1225261","true","3","104997168158","487","1469"
"","369107011909","295861","1247569","true","3","34348069709","79","230"
"","1130404249577","871289","1297393","true","3","1094048702932","179","599"
"","51358232119","269183","190793","true","3","27200785632","3407","11255"
"","1061589103343","1041281","1019503","true","3","88539757539","271","1150"
"","741487270283","771509","961087","true","3","594044991440","467","1609"
"","921813070291","949523","970817","true","3","612457379157","197","791"
"","46097217059","615557","74887","true","3","8968092686","1783","6552"
"","18575649341","25679","723379","true","3","1039177773","347","922"
"","10509107437","166081","63277","true","3","6940026748","173","561"
"","21415046617","22469","953093","true","3","11415690017","137","388"
"","46097554703","330233","139591","true","3","31502478108","47","171"
"","282328372397","389903","724099","true","3","129347976668","229","655"
"","478185399583","385223","1241321","true","3","291388932862","31033","122135"
"","463209354119","603641","767359","true","3","383977235293","479","2175"
"","252312891041","309359","815599","true","3","218978530715","1163","5076"
"","88180974523","90697","972259","true","3","50483576317","3307","12141"
"","170444684009","937751","181759","true","3","2756050190","31","161"
"","826734481043","1085767","761429","true","3","389645945990","16451","66167"
"","822587975047","973561","844927","true","3","359683085012","61","197"
"","699213778873","831547","840859","true","3","481188807850","59","217"
"","18862353707","136093","138599","true","3","2375171064","131","377"
"","537565165681","695509","772909","true","3","22199256263","479","1542"
"","17385622097","881311","19727","true","3","3816957942","1013","2890"
"","605046450521","469153","1289657","true","3","141586283403","163","1014"
"","3908233523","230833","16931","true","3","3738571269","229","586"
"","1359398688763","1064933","1276511","true","3","636497744354","1193","4507"
"","1164899707163","925741","1258343","true","3","869080096355","139","475"
"","549789834383","660271","832673","true","3","533938708487","1693","6205"
"","49780263671","76487","650833","true","3","2353412129","149","467"
"","73851264143","798487","92489","true","3","23587305981","353","976"
"","288681011119","510157","565867","true","3","288340226244","383","1628"
"","449711418851","771691","582761","true","3","230652141713","857","2689"
"","117246228019","155453","754223","true","3","16399824913","3169","11344"
"","727429509991","635197","1145203","true","3","195893844369","131","436"
"","137384612041","589793","232937","true","3","58163616282","2633","8029"
"","794873189053","1028737","772669","true","3","137843556842","47","216"
"","616854457727","1012171","609437","true","3","165712624108","1009","3538"
"","1030890207817","999623","1031279","true","3","744777113135","38447","156266"
"","39447547229","588743","67003","true","3","337226100","859","2662"
"","216828142651","279511","775741","true","3","19879940365","33","106"
"","312132943211","334843","932177","true","3","114031348057","41","189"
"","285137068921","315599","903479","true","3","270028189605","3557","12311"
"","573334506847","763663","750769","true","3","515440456951","15641","59810"
"","461580625157","624731","738847","true","3","326341331431","41047","160367"
"","896057776147","745741","1201567","true","3","643533467246","1381","4587"
"","1297255720309","1090403","1189703","true","3","197257516213","839","2744"
"","349313530877","411557","848761","true","3","131479868989","643","2643"
"","725293601171","732029","990799","true","3","693804641708","131","403"
"","122833235197","192611","637727","true","3","26000366280","103","299"
"","140359435999","314581","446179","true","3","103792225979","107","295"
"","53950751039","107053","503963","true","3","24683317264","811","2295"
"","36575995109","38791","942899","true","3","16544012382","431","2142"
"","1137988371103","1055269","1078387","true","3","434304188446","941","3000"
"","87420665699","143501","609199","true","3","76215246614","41","137"
"","19322978539","268819","71881","true","3","13888631178","599","1843"
"","297881651413","290557","1025209","true","3","11967264658","491","1447"
"","49789448869","277411","179479","true","3","5605488129","59","159"
"","573648663193","1260121","455233","true","3","384014073316","2371","8532"
"","656233383523","1293323","507401","true","3","609329235084","59","177"
"","675411989611","1241249","544139","true","3","480873516340","491","2028"
"","709537920457","1071151","662407","true","3","386025681985","193","637"
"","274299745523","1019069","269167","true","3","242128905684","397","1223"
"","324640947551","292979","1108069","true","3","244661196300","1231","4393"
"","571853543509","501563","1140143","true","3","155315503270","197","623"
"","900261290941","1144001","786941","true","3","534510443230","15","111"
"","289320974473","738043","392011","true","3","117248530046","179","519"
"","56122842511","143551","390961","true","3","20783313781","29","84"
"","1505503650659","1186573","1268783","true","3","213735377832","193","644"
"","304191097387","268811","1131617","true","3","35517459809","26881","104675"
"","735495736663","679519","1082377","true","3","713616567986","5011","18287"
"","829039711267","1100747","753161","true","3","280940354570","349","1409"
"","121543493161","659591","184271","true","3","77293511745","929","3428"
"","982013464681","1230379","798139","true","3","88591832723","139","557"
"","39686106049","113159","350711","true","3","29802233195","1951","7909"
"","515111836067","550027","936521","true","3","252783875279","1801","6187"
"","59290431433","283411","209203","true","3","55554224221","67","179"
"","156068636791","962537","162143","true","3","41709615822","1523","5065"
"","35330974219","49369","715651","true","3","6274404949","22","115"
"","97682701537","122789","795533","true","3","53127284807","11699","41103"
"","933240173501","1161239","803659","true","3","594687910486","757","2577"
"","94194076679","150151","627329","true","3","65537307877","13","55"
"","198007582393","249377","794009","true","3","191012308167","7793","29057"
"","554092144483","429791","1289213","true","3","152354035489","18959","72322"
"","737861501149","772697","954917","true","3","41880950098","96587","412831"
"","471546547","429851","1097","true","3","461835904","137","378"
"","387941312491","753587","514793","true","3","62516461921","281","857"
"","57037396223","358471","159113","true","3","27550288706","569","2646"
"","800559888743","732497","1092919","true","3","628587905569","2693","10214"
"","522160597271","1168351","446921","true","3","92067227152","7789","30281"
"","953124684241","1118267","852323","true","3","323173607265","426161","1858932"
"","577286180153","834143","692071","true","3","193825556687","59","541"
"","250526889271","472399","530329","true","3","150926860440","1163","5648"
"","96033793","2963","32411","true","3","46250498","463","1110"
"","429202298813","732761","585733","true","3","18663210580","367","1326"
"","468954353477","378071","1240387","true","3","212691780542","491","2343"
"","360649604303","329333","1095091","true","3","236688588377","211","733"
"","68553238343","305947","224069","true","3","28027446797","139","852"
"","1043204570953","917641","1136833","true","3","383803915465","191","925"
"","306463086467","710443","431369","true","3","228847899161","1361","4588"
"","68490638737","58907","1162691","true","3","28268173347","29453","108857"
"","405157379659","770207","526037","true","3","267074668700","4327","17836"
"","185469290771","153259","1210169","true","3","30942532324","89","329"
"","306242418743","462569","662047","true","3","270685664852","863","2870"
"","737493774233","579353","1272961","true","3","7869444903","17","100"
"","7209895493","32941","218873","true","3","4193224596","61","226"
"","219770642851","200257","1097443","true","3","33202210087","149","542"
"","225792108023","310019","728317","true","3","179830935422","20231","75259"
"","240621636643","367001","655643","true","3","177262264053","167","585"
"","263607633937","974329","270553","true","3","120815442151","11273","42807"
"","239592605897","738797","324301","true","3","114177301673","47","565"
"","684800426521","747283","916387","true","3","573024077231","463","1538"
"","776188619359","678823","1143433","true","3","328750584786","4919","18948"
"","2123055289","43853","48413","true","3","1291900906","19","80"
"","431340633967","431029","1000723","true","3","307309453044","307","1119"
"","365650395133","658169","555557","true","3","289200774939","73","320"
"","330214254133","313721","1052573","true","3","54243615785","31","294"
"","521988197891","619511","842581","true","3","482158551441","151","607"
"","24514980821","197023","124427","true","3","9587533227","4691","15736"
"","871388272591","1006637","865643","true","3","53369880467","701","2350"
"","126152813159","279001","452159","true","3","31655174460","31","148"
"","618620469353","974861","634573","true","3","494010811751","617","2300"
"","833779608131","804371","1036561","true","3","150825844867","617","2134"
"","755811492509","1247401","605909","true","3","680885104044","11","74"
"","356629651361","357739","996899","true","3","133679909521","547","1867"
"","143862141133","1190291","120863","true","3","4071753608","97","370"
"","107915175899","559259","192961","true","3","85651335720","67","251"
"","149867800387","201661","743167","true","3","50750131264","53","207"
"","817487914241","1280789","638269","true","3","248975135289","3301","12579"
"","1253614655399","1149307","1090757","true","3","932015861520","701","3629"
"","156851901403","158161","991723","true","3","105372077514","659","1948"
"","229359096437","244603","937679","true","3","70854640217","127","376"
"","12242138497","10831","1130287","true","3","1979061983","38","114"
"","163964246293","1124113","145861","true","3","78610764924","13","58"
"","67221795857","54581","1231597","true","3","25058464587","2729","8693"
"","300962833321","462629","650549","true","3","215611455071","1579","6308"
"","514660338791","771629","666979","true","3","95903453524","71","225"
"","308790953663","423257","729559","true","3","68099935016","277","821"
"","1147115893009","972611","1179419","true","3","85121942110","5119","19802"
"","601303586321","1107053","543157","true","3","33298239886","45263","181326"
"","16001837273","1029653","15541","true","3","4231394694","37","189"
"","76447669321","503983","151687","true","3","61114994513","61","213"
"","51397371967","77017","667351","true","3","19116936747","1483","4416"
"","19136236243","236107","81049","true","3","2701201073","307","917"
"","23243679853","1282693","18121","true","3","1824349797","151","496"
"","69158337203","345517","200159","true","3","69023430038","58","169"
"","248250565441","211369","1174489","true","3","141758473323","6991","24167"
"","308580230633","318289","969497","true","3","185267751387","349","1018"
"","47444108189","804997","58937","true","3","11313016088","139","468"
"","61657705271","516193","119447","true","3","17791624132","283","828"
"","115584753821","1078387","107183","true","3","54028267088","941","2978"
"","238461812411","969763","245897","true","3","187680885251","4391","15855"
"","1313210774917","1197631","1096507","true","3","895566904443","1901","8953"
"","694234739287","551581","1258627","true","3","223130510350","317","990"
