#### DATA MINER
Timestamp: 1558426773654
Algorithm: pol1
Max index for prime numbers picking: 2000
Iterations limit: 10000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","41560339","3613","11503","true","1913635","843856","36","40","17157"
"","6297539","3847","1637","true","2251032","1096932","37","89","62830"
"","6004441","1291","4651","true","5449037","1648333","30","28","95420"
"","37133069","3461","10729","true","16127357","12105675","9","51","320924"
"","94907543","6563","14461","true","23178155","66199630","26","218","28385156"
"","3710737","367","10111","true","650786","967140","6","3","12674"
"","151511219","16889","8971","true","63957590","6518101","111","294","343920"
"","11809753","17291","683","true","7123251","4191815","6","26","721283"
"","121645661","17011","7151","true","42272720","92823139","1","26","1428"
"","42642373","3709","11497","true","686041","30940354","11","23","10858"
"","249479119","15077","16547","true","111871934","180608172","4","64","1498"
"","3166243","3221","983","true","258969","2273136","5","4","2759"
"","35647229","3011","11839","true","18155961","18369063","11","105","42036"
"","32559","10853","3","true","19826","18029","4","1","1622"
"","5571641","449","12409","true","2722990","5288127","10","23","1927"
"","43736909","6761","6469","true","11649099","1088417","62","92","3093238"
"","19459247","15731","1237","true","19128799","7272154","77","3","113012"
"","2711983","12853","211","true","1117653","722661","0","1","26"
"","11153837","7687","1451","true","4581103","7748147","44","130","5330032"
"","5983379","743","8053","true","1737590","5055426","13","64","53893"
"","33468079","6703","4993","true","16800456","28952995","3","28","82066"
"","155830679","10613","14683","true","132763615","133474686","68","56","434855"
"","15824881","14887","1063","true","2197545","2219868","27","15","1058275"
"","1720487","1637","1051","true","522234","554815","6","67","7800"
"","29151131","8831","3301","true","19213614","8270799","33","3","17483"
"","63701","5791","11","true","2138","5394","2","2","142"
"","92880257","6841","13577","true","51082018","83296287","117","56","4490553"
"","4392767","1093","4019","true","2648034","1323318","1","13","17420"
"","85874797","16607","5171","true","65389562","64858138","1","99","33767"
"","180033589","10867","16567","true","123503109","98041728","9","225","8623087"
"","3512449","503","6983","true","2658735","2084812","32","7","21963"
"","804469","67","12007","true","269445","498652","6","1","1385"
"","7487533","6863","1091","true","5815894","208823","28","16","45112"
"","149264909","8753","17053","true","4565452","80182619","2","21","127072"
"","59583059","7937","7507","true","54459103","52808207","26","165","34584"
"","3139289","439","7151","true","1293258","213757","11","6","1437"
"","11103793","10687","1039","true","3885770","433869","35","46","300087"
"","218261137","12781","17077","true","32481697","28954141","15","87","9835728"
"","65426197","6761","9677","true","51003973","64194684","11","14","7297654"
