#### DATA MINER
Timestamp: 1558421587176
Algorithm: pol1
Max index for prime numbers picking: 500
Iterations limit: 100000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","3908341","1889","2069","true","3882826","505294","35","39","116097"
"","1089337","443","2459","true","368523","149672","31","89","167989"
"","4321223","1607","2689","true","1313208","3227145","76","7","61827"
"","6507433","2909","2237","true","559548","1600970","88","2","14448"
"","438673","449","977","true","351372","56379","1","23","172"
"","3368279","3299","1021","true","2277052","1221372","6","8","5062"
"","5922377","1931","3067","true","1246095","2110989","46","21","31710"
"","7371499","2221","3319","true","677214","4201941","0","101","319"
"","4095407","2539","1613","true","4091212","150653","2","58","4618"
"","1881743","2447","769","true","614833","91175","7","29","8989"
"","9296473","2897","3209","true","8104106","3373305","50","41","471656"
"","9154609","2687","3407","true","8050150","1601350","54","6","29034"
"","562829","197","2857","true","542590","181095","2","2","1691"
"","2266393","1117","2029","true","841460","1470450","10","6","2553"
"","4157557","3361","1237","true","674088","257324","24","7","3601"
"","12731","29","439","true","3906","9613","9","4","516"
"","2804777","3343","839","true","1532750","1256719","8","19","97070"
"","9046969","2617","3457","true","8852802","7929783","14","44","32400"
"","1166059","2851","409","true","314899","745576","4","22","28578"
"","3162701","3361","941","true","2265186","2284006","21","15","6205"
"","1669183","1301","1283","true","1539434","1182960","3","38","5028"
"","4530133","1607","2819","true","4215354","2179285","56","7","9559"
"","2476949","769","3221","true","657700","919929","8","5","6667"
"","2644337","743","3559","true","1841755","2150843","12","15","14391"
"","4743763","1601","2963","true","2711316","2628064","0","54","93"
"","763729","3169","241","true","635720","62131","10","14","2276"
"","8547751","2879","2969","true","7956553","6928750","2","16","9195"
"","4025143","1163","3461","true","2060553","1807900","4","51","2794"
"","1194719","373","3203","true","320869","810618","5","1","2241"
"","9437063","3083","3061","true","973727","2589219","18","86","374812"
"","956563","1997","479","true","609061","929991","2","19","1559"
"","237953","1597","149","true","36473","119764","5","8","630"
"","385309","373","1033","true","243486","58579","12","2","720"
"","206579","167","1237","true","93411","30953","30","8","3871"
"","650021","401","1621","true","213046","358936","4","44","46585"
"","2152121","3347","643","true","1524822","443741","17","18","14628"
"","6774511","3109","2179","true","4371986","5382411","4","39","1699"
"","473413","389","1217","true","368122","73608","0","51","86"
"","313459","167","1877","true","31058","289407","17","7","3941"
"","4942103","3019","1637","true","2666639","2067497","10","7","3377"
"","614711","3089","199","true","559142","540608","10","17","1212"
"","395957","167","2371","true","164747","131180","0","5","33"
"","1881673","883","2131","true","1506312","636557","10","14","4734"
"","589987","457","1291","true","4208","90705","16","28","17987"
"","1332839","419","3181","true","80845","99931","11","14","2597"
"","520153","1499","347","true","36576","513007","0","11","60"
"","7288207","2551","2857","true","3905367","4958930","18","29","33872"
"","1765237","2861","617","true","834276","373655","16","75","2678"
"","30221","643","47","true","14801","18655","10","4","790"
"","413381","157","2633","true","39891","188413","4","1","297"
"","2845651","1063","2677","true","1417611","1530289","74","15","50337"
"","905287","863","1049","true","308873","164111","2","18","873"
"","2361131","3457","683","true","765549","1930064","15","26","34184"
"","37769","179","211","true","29772","35679","11","21","804"
"","606637","929","653","true","113288","328778","29","16","2109"
"","9799201","3511","2791","true","851325","2629192","7","60","1293"
"","4897999","1597","3067","true","2124458","1839227","1","1","175"
"","356519","541","659","true","223398","305089","6","17","5049"
"","10141093","3313","3061","true","8915790","7715878","2","5","101693"
"","2153603","631","3413","true","911367","1308897","30","13","78095"
"","2810789","2131","1319","true","1323470","2178001","15","33","3299"
"","1789507","673","2659","true","1452310","1567393","0","10","62"
"","3458971","3119","1109","true","2904837","774560","66","84","791951"
"","5258101","2633","1997","true","5002870","3944460","8","12","1387"
"","2164343","1861","1163","true","1920645","1704327","11","4","2842"
"","10584527","3001","3527","true","3682896","9363789","0","5","48"
"","617483","937","659","true","460065","324200","4","18","466"
"","4359119","2113","2063","true","3446220","1226432","5","24","2212"
"","6772349","2129","3181","true","575155","4994959","18","23","40492"
"","7837979","2917","2687","true","7448176","5616300","47","5","9916"
"","3156233","2659","1187","true","3069682","2748005","21","10","9974"
"","451259","179","2521","true","8257","101516","7","21","7972"
"","1726801","919","1879","true","468528","1130208","10","25","26270"
"","1728607","1259","1373","true","1679237","1037147","13","33","8646"
"","224269","137","1637","true","140456","109905","0","17","56"
"","2737417","1009","2713","true","116338","2492533","5","49","76131"
"","5626919","2113","2663","true","2246659","2660807","0","21","64"
"","1406989","1531","919","true","735766","529910","2","14","1669"
"","3014971","1289","2339","true","634513","826574","1","51","5851"
"","202211","433","467","true","158534","17500","0","19","52"
"","137789","227","607","true","97505","109536","9","23","1605"
"","3742517","2099","1783","true","478589","2117166","30","37","373695"
"","9368731","3307","2833","true","1210992","4791904","22","1","20346"
"","786523","757","1039","true","626659","45283","42","26","86714"
"","2646229","1597","1657","true","2053095","1234537","5","85","70732"
"","2962679","863","3433","true","2496455","1167435","1","13","165"
"","1434871","509","2819","true","338965","882577","4","46","9743"
"","5009111","1657","3023","true","2303160","2627932","4","1","3989"
"","4189169","1871","2239","true","1530050","2329373","1","16","1381"
"","3620171","1523","2377","true","321789","3440893","29","39","14406"
"","879569","1061","829","true","427254","462901","29","35","5109"
"","10624517","3163","3359","true","2021239","8010336","2","71","61565"
"","5406601","2797","1933","true","4854839","827159","22","31","3944"
"","474781","2843","167","true","309468","56964","10","7","2183"
"","3525721","1291","2731","true","2038749","690945","1","28","250"
"","229951","1013","227","true","9815","42503","8","4","5338"
"","1049353","1663","631","true","847005","766237","0","13","66"
"","306161","1451","211","true","209713","86489","22","2","6618"
"","817693","787","1039","true","494814","58816","11","35","3265"
"","2201863","1913","1151","true","267475","993756","27","16","74700"
"","4059383","2441","1663","true","3627985","1433526","11","8","3922"
"","43501","1061","41","true","3198","1886","1","7","72"
"","966071","2549","379","true","220813","30176","7","3","648"
"","6331243","2351","2693","true","5081987","356477","0","25","86"
"","2300503","3023","761","true","696588","573306","88","16","22290"
"","10931839","3203","3413","true","7038253","3447777","7","72","141766"
"","302501","2677","113","true","255764","99259","4","3","2060"
"","5537429","1613","3433","true","2863267","3673455","14","4","20483"
"","543293","907","599","true","51692","19947","9","22","15943"
"","4678577","2963","1579","true","4437301","626883","13","13","5345"
"","3217283","3067","1049","true","648024","135063","0","23","55"
"","429619","349","1231","true","278930","235654","11","29","42691"
"","9083567","3271","2777","true","7495620","8739716","99","15","22433"
"","216443","101","2143","true","161523","172229","7","9","2343"
"","1891999","701","2699","true","1886477","1524761","52","20","139191"
"","4599193","2707","1699","true","296740","2516480","613","40","136525"
"","2271539","853","2663","true","580266","1243900","5","4","816"
"","1992209","1229","1621","true","1618424","1839644","16","15","29923"
"","1019203","863","1181","true","249501","284931","8","33","5448"
"","35467","29","1223","true","12288","6807","2","2","173"
"","5072203","1531","3313","true","3481126","3736803","4","18","6350"
"","971293","1931","503","true","153157","342395","48","54","41438"
"","597481","181","3301","true","217016","361997","1","14","161"
"","3386401","1669","2029","true","1741748","795425","13","89","26351"
"","51533","1777","29","true","6054","22047","12","16","674"
"","2600729","1217","2137","true","1842164","2067309","6","18","1053"
"","2098399","3457","607","true","1319196","1409078","7","28","3898"
"","56297","19","2963","true","6145","42036","5","1","397"
"","1236199","691","1789","true","926235","533056","10","40","1158"
"","7150453","2551","2803","true","6338012","2391388","46","20","7480"
"","2815051","1321","2131","true","2354833","1807166","9","33","2691"
"","1856527","1427","1301","true","265278","710220","1","38","276"
"","117349","491","239","true","18070","57983","19","16","1401"
"","7245037","3529","2053","true","5290607","2291174","4","39","32890"
"","8205697","3167","2591","true","6512486","5799961","0","5","33"
"","951253","1237","769","true","767847","193404","31","22","9071"
"","1544057","631","2447","true","1199167","254560","14","7","9760"
"","4657447","1553","2999","true","3361271","1504890","3","38","119113"
"","5645","5","1129","true","3607","1022","2","3","237"
"","5246467","2897","1811","true","2897571","2744030","11","3","11113"
"","857393","971","883","true","668933","749286","3","45","337"
"","419581","1741","241","true","272797","58307","4","1","517"
"","287039","239","1201","true","279819","9594","29","32","2174"
"","6100231","2113","2887","true","1751362","1990983","3","24","11586"
"","1114747","1213","919","true","73383","415251","14","25","1958"
"","454681","2003","227","true","161682","300379","6","23","4277"
"","2989457","1277","2341","true","2970409","1744489","36","7","75312"
"","1428701","997","1433","true","463529","934113","47","14","16877"
"","367267","281","1307","true","323777","288371","24","4","1853"
"","3126259","1511","2069","true","2788529","1122984","81","24","213870"
"","8220257","2371","3467","true","4255700","5784995","8","13","428675"
"","9078571","3089","2939","true","3131642","2414994","7","96","8073"
"","908267","911","997","true","647695","665641","6","20","5758"
"","1809611","601","3011","true","31647","1675983","3","38","528"
"","86803","1423","61","true","86785","71474","3","10","223"
"","690979","2459","281","true","193609","518197","31","89","24202"
"","1773731","947","1873","true","1489674","846661","27","2","29383"
"","12452941","3499","3559","true","10954257","2110142","53","34","27997"
"","3369871","2551","1321","true","2284522","3120715","13","6","22417"
"","412673","827","499","true","342742","84718","45","8","3035"
"","2752333","1993","1381","true","1898398","337879","3","37","21810"
"","3116441","1559","1999","true","2829909","1959987","43","23","33864"
"","473849","773","613","true","445408","276121","20","12","2153"
"","2239261","1193","1877","true","63770","1912920","22","7","3742"
"","164009","401","409","true","100703","71831","24","29","54320"
"","89179","347","257","true","77314","57011","3","15","320"
"","1388609","919","1511","true","642650","223586","62","25","63651"
"","4027949","2017","1997","true","1851542","1068946","3","2","7662"
"","3289133","1567","2099","true","507523","2662148","15","41","62883"
"","331829","167","1987","true","272639","300695","5","8","426"
"","6779137","2017","3361","true","1485124","5658297","33","65","219384"
"","551857","179","3083","true","323694","401201","3","21","27821"
"","2360819","1181","1999","true","58996","1242358","5","33","4612"
"","41663","683","61","true","23499","1600","1","1","124"
"","5148673","1811","2843","true","1939595","2955566","2","13","1680"
"","142267","1259","113","true","68165","8388","7","4","586"
"","594383","233","2551","true","62587","176524","0","14","38"
"","263363","223","1181","true","17547","38805","21","14","4074"
"","6990079","3359","2081","true","40554","2543009","4","71","278767"
"","24599","17","1447","true","528","23680","0","30","63"
"","2007059","883","2273","true","1859217","645092","9","45","3616"
"","2187041","1499","1459","true","1745385","99483","2","52","83775"
"","4187903","1901","2203","true","3515009","2391479","11","31","945056"
"","8422889","2399","3511","true","2531545","3286410","12","7","17325"
"","7968973","2339","3407","true","6815735","6768037","6","21","85940"
"","4331477","2293","1889","true","2285583","4218582","3","33","1499"
"","33451","11","3041","true","677","29728","0","2","91"
"","1060331","1609","659","true","432394","838997","14","22","2038"
"","1816823","601","3023","true","546906","990444","2","38","963"
"","1776919","3491","509","true","586903","50417","7","9","295062"
"","1167223","2521","463","true","1116485","1166905","5","23","1835"
"","112667","1847","61","true","102500","83834","0","10","68"
"","552037","2099","263","true","16679","27199","0","26","63"
"","5651819","1607","3517","true","5403077","5192057","28","8","13426"
"","2216507","1279","1733","true","50472","1007164","0","15","75"
"","3591823","3457","1039","true","336530","1245721","19","28","142393"
"","4373627","3167","1381","true","1927134","2075983","6","61","131489"
"","1176169","743","1583","true","275503","261386","14","15","5029"
"","6093397","2099","2903","true","4598313","838928","17","12","3760"
"","495631","439","1129","true","209611","177999","24","13","2802"
"","1018933","307","3319","true","898879","155632","7","1","2657"
"","1725043","499","3457","true","172637","1068000","14","28","2278"
"","1268347","359","3533","true","1194532","374876","1","23","302"
"","4414693","1319","3347","true","4076021","1940635","15","41","19963"
"","4663193","2039","2287","true","867055","1788716","129","62","902095"
"","287519","907","317","true","36075","18640","0","8","61"
"","34873","43","811","true","14782","6672","6","33","316"
"","3246361","1913","1697","true","575234","1739376","7","16","29003"
"","525829","1249","421","true","235013","203438","4","12","630"
"","712081","2113","337","true","540531","689822","22","11","9311"
"","3703421","2137","1733","true","1763018","1305506","4","27","516"
"","917071","439","2089","true","674885","411924","17","6","1573"
"","971809","2753","353","true","743774","383361","2","5","253"
"","2933969","1733","1693","true","523030","2497068","0","38","72"
"","7457563","2251","3313","true","4069292","346138","39","45","1979649"
"","3288991","1973","1667","true","2371119","735502","2","15","17212"
"","794909","2713","293","true","144450","44537","14","11","18050"
"","2858473","839","3407","true","1583698","458599","49","9","36347"
"","250661","367","683","true","5531","241512","22","10","5555"
