#### DATA MINER
Timestamp: 1557854309332
Algorithm: pol3
Iterations limit: 10000
User: ludch
Available cores: 4
Memory available to JVM: 126877696 bytes

""",n","p","q","success","bInit","b","i","time (µs)"
"","13607876977","27407","496511","true","3","7226221095","173","432"
"","517260006113","801341","645493","true","3","78651619151","389","1161"
"","224588573981","925097","242773","true","3","63441197588","20231","68936"
"","653687382871","503593","1298047","true","3","506399287829","4603","16919"
"","468956325221","1161683","403687","true","3","301890863959","547","1645"
"","255750742759","554597","461147","true","3","165970916609","683","2390"
"","682930344913","1249733","546461","true","3","184680320178","307","922"
"","252097966723","510451","493873","true","3","124236627087","83","291"
"","34070556907","81629","417383","true","3","31329602747","4259","13561"
"","85228756897","263111","323927","true","3","28723038538","317","893"
"","179060576213","874537","204749","true","3","50386449256","2803","8957"
"","198193572431","996263","198937","true","3","46569560205","307","997"
"","359502435011","1204561","298451","true","3","262452138832","127","542"
"","27018795481","98507","274283","true","3","13755018168","4729","14423"
"","505794453313","521791","969343","true","3","277151642532","773","2621"
"","694164054719","969109","716291","true","3","556851000510","139","2276"
"","370332999901","792989","467009","true","3","333891190407","223","655"
"","82224672359","833947","98597","true","3","19617943688","314","958"
"","157568613019","304481","517499","true","3","95213340068","173","487"
"","638945047361","645889","989249","true","3","66667468609","41","137"
"","874265842127","880907","992461","true","3","666276782819","139","454"
"","221533003151","561103","394817","true","3","97982524525","199","564"
"","274206344129","246241","1113569","true","3","272504818820","19","81"
"","206029996421","1175561","175261","true","3","70254949200","127","473"
"","427686527627","790421","541087","true","3","79212972453","991","3007"
"","465894338341","490921","949021","true","3","199502930586","4091","12870"
"","934705452493","856333","1091521","true","3","304728649739","379","1319"
"","763636103861","637271","1198291","true","3","362510588194","677","2307"
"","290367604201","774733","374797","true","3","187489575672","359","1297"
"","611664584963","1125569","543427","true","3","529923513046","409","1483"
"","950175232901","1158407","820243","true","3","200794794160","9817","41081"
"","799054774211","815273","980107","true","3","561156482266","1009","3713"
"","386483362469","494731","781199","true","3","381272855578","239","859"
"","271153691","1459","185849","true","3","21775576","15","83"
"","224534341639","1078367","208217","true","3","215567268318","1531","5256"
"","919493335909","1295603","709703","true","3","271243557272","179","677"
"","1062633863887","1015061","1046867","true","3","283663871756","50753","197138"
"","373115607043","300151","1243093","true","3","7809929021","29","184"
"","39130315321","1254941","31181","true","3","1035427468","1559","4434"
"","81114777467","151517","535351","true","3","80641527184","83","277"
"","176232711709","429259","410551","true","3","20592827610","23","89"
"","496844093219","592489","838571","true","3","469145232470","211","713"
"","942848847713","864359","1090807","true","3","88171532873","389","1319"
"","176218281497","262237","671981","true","3","82325634833","82","243"
"","523541467091","488947","1070753","true","3","32090569505","4289","13947"
"","1140912263507","1093363","1043489","true","3","585188651498","1223","3832"
"","660935287843","653357","1011599","true","3","11101188788","479","1864"
"","326941064551","528929","618119","true","3","56251599151","16529","58964"
"","146213231687","232621","628547","true","3","85742472254","3877","12597"
"","617949313987","624607","989341","true","3","587408357318","1499","5324"
"","496816780283","409099","1214417","true","3","81718119931","1549","6053"
"","6149958623","13613","451771","true","3","1338597474","37","117"
"","3336399947","2837","1176031","true","3","1101941048","179","532"
"","461341520411","1092173","422407","true","3","292390547808","757","3086"
"","16611097403","14797","1122599","true","3","14599977946","137","447"
"","49458432811","91153","542587","true","3","10457619079","211","651"
"","120645404587","506873","238019","true","3","97507577598","349","1133"
"","155233628177","812057","191161","true","3","16452653788","59","345"
"","757516315313","654827","1156819","true","3","301553072117","8849","34099"
"","242791987609","597761","406169","true","3","238789977715","467","1486"
"","176310702761","190403","925987","true","3","155743561105","83","269"
"","354499228313","623621","568453","true","3","14032830759","373","1192"
"","317505947431","471817","672943","true","3","46473443581","5903","24482"
"","91776934861","320561","286301","true","3","77524298480","409","1244"
"","167058752929","304879","547951","true","3","126488504400","61","205"
"","107808501587","471853","228479","true","3","13951749505","257","756"
"","353870083249","878083","403003","true","3","13775045544","439","1470"
"","205856960389","943091","218279","true","3","44629895394","94309","346960"
"","49568186599","70663","701473","true","3","47606868092","7307","23030"
"","132542257957","175291","756127","true","3","102396230595","353","1311"
"","1627679849","449263","3623","true","3","1227736880","1811","4408"
"","38526937147","45007","856021","true","3","32292612515","577","1617"
"","659715121927","1237129","533263","true","3","277579922654","61","249"
"","259615261211","410731","632081","true","3","247040009717","7901","27651"
"","346294989353","522127","663239","true","3","145707893383","293","971"
"","167096486083","987457","169219","true","3","79664582383","79","265"
"","257974404841","421697","611753","true","3","31227084548","599","1877"
"","153755006393","875593","175601","true","3","20382534874","439","1314"
"","188222191849","167249","1125401","true","3","37222638076","331","1240"
"","7539718363","92377","81619","true","3","633363441","223","639"
"","651701681693","571783","1139771","true","3","411333095962","389","1662"
"","32496113831","102199","317969","true","3","25769797606","167","437"
"","46682307557","788779","59183","true","3","10661107255","233","631"
"","206078448899","272003","757633","true","3","1147580658","443","1323"
"","1551463629227","1274509","1217303","true","3","751295016303","11801","43658"
"","1024851515993","1268803","807731","true","3","477129932625","1049","4034"
"","13644774151","109201","124951","true","3","4577159916","10","93"
"","79945155569","737413","108413","true","3","15821933329","163","543"
"","610294476641","566999","1076359","true","3","319842434904","347","1297"
"","208764863233","351037","594709","true","3","36931549660","199","796"
"","95789626817","1158881","82657","true","3","8773792580","41","128"
"","16386833569","632623","25903","true","3","850214170","1439","3851"
"","547360060253","458333","1194241","true","3","365563141306","311","911"
"","281721372533","880151","320083","true","3","191974135366","607","2173"
"","32197127663","29443","1093541","true","3","19610470754","107","331"
"","1021610540683","836839","1220797","true","3","714675569103","15497","57152"
"","778930410439","1081657","720127","true","3","756668827723","181","549"
"","619599478237","524801","1180637","true","3","368980760688","41","228"
"","991037528941","914843","1083287","true","3","770257138620","14639","53531"
"","593548433131","765949","774919","true","3","3627534465","71","219"
"","563709601541","647651","870391","true","3","229902467568","509","3118"
"","80119396997","186479","429643","true","3","40289772326","23869","79448"
"","348058571431","469969","740599","true","3","147784571865","9791","35345"
"","681426022007","1049137","649511","true","3","179380395124","1987","6977"
"","8868380363","517499","17137","true","3","1289439292","17","58"
"","94455143617","965197","97861","true","3","73698727657","233","634"
"","1155681434023","1146133","1008331","true","3","387326153707","61","228"
"","93408427067","439567","212501","true","3","62965108806","25","93"
"","22481528627","418051","53777","true","3","10395256167","929","2483"
"","39023620157","699511","55787","true","3","9555320261","3331","9792"
"","11518876373","24137","477229","true","3","4374107141","431","1135"
"","3975229613","20021","198553","true","3","198708426","13","55"
"","56949900131","331843","171617","true","3","44794954490","173","485"
"","1530027481861","1254739","1219399","true","3","305616751972","203233","805657"
"","891237645667","830657","1072931","true","3","260839182480","5647","20326"
"","522375167507","564827","924841","true","3","53357776655","367","1147"
"","5579385167","94529","59023","true","3","288975154","211","529"
"","138778953163","110951","1250813","true","3","37060407776","317","1019"
"","557658522713","1166779","477947","true","3","440466073175","41","158"
"","309302745779","1040411","297289","true","3","202542011426","167","522"
"","9926990041","179411","55331","true","3","3646528576","233","626"
"","6823488653","11731","581663","true","3","5286047256","23","115"
"","89197454783","231359","385537","true","3","25050652113","251","732"
"","272471222449","985547","276467","true","3","201958291241","863","2666"
