#### DATA MINER
Timestamp: 1557854309332
Algorithm: pol3
Iterations limit: 10000
User: ludch
Available cores: 4
Memory available to JVM: 126877696 bytes

""",n","p","q","success","bInit","b","i","time (µs)"
"","170288697181","923029","184489","true","3","88498081878","7687","25214"
"","412674711721","502919","820559","true","3","55724933958","58","181"
"","72383120477","749393","96589","true","3","4593676252","2683","8272"
"","556948848023","844421","659563","true","3","45003962180","2971","10213"
"","5248449827","5381","975367","true","3","4527551877","269","950"
"","159341701433","134153","1187761","true","3","41012199570","101","287"
"","215264855609","247201","870809","true","3","56677998080","103","291"
"","44135409841","111301","396541","true","3","16416674899","53","174"
"","194612453939","685987","283697","true","3","167959688184","149","451"
"","382610008463","547627","698669","true","3","281140213587","317","1067"
"","197087560169","1035499","190331","true","3","40287933764","2719","8876"
"","244150800599","1295003","188533","true","3","91208356294","643","1981"
"","123021823901","422249","291349","true","3","12941087353","1123","3254"
"","759449299501","624599","1215899","true","3","113678045208","4787","16885"
"","679614255949","770591","881939","true","3","142236457372","293","945"
"","114549330121","658303","174007","true","3","105452244162","1381","4497"
"","107891108849","103903","1038383","true","3","54450727755","2609","8304"
"","32723894953","60899","537347","true","3","10863544300","6553","21215"
"","379245867773","1035379","366287","true","3","337044843643","491","1568"
"","213024419471","225721","943751","true","3","13741668760","19","79"
"","38501887849","33479","1150031","true","3","27957007220","881","2732"
"","82717565207","67271","1229617","true","3","23781240295","62","164"
"","355275435167","781129","454823","true","3","193648128133","571","1660"
"","725742542143","1152157","629899","true","3","612426861539","379","1198"
"","126671851847","757711","167177","true","3","21973620","8419","27279"
"","296881379","601","493979","true","3","30663021","10","51"
"","368332448051","960833","383347","true","3","183991226121","229","712"
"","697895455577","731299","954323","true","3","259793441645","1259","4456"
"","837714434911","1159789","722299","true","3","250455274762","13807","50032"
"","277672901509","656597","422897","true","3","196520658798","26431","91879"
"","101072578861","203807","495923","true","3","33243571192","563","1650"
"","228841656157","281807","812051","true","3","223481307507","149","462"
"","265066944397","211693","1252129","true","3","124480352940","59","230"
"","187396570003","505877","370439","true","3","172860700286","89","253"
"","912824846393","1058921","862033","true","3","607322961131","1151","3568"
"","346372470419","1246711","277829","true","3","309291545147","1433","4895"
"","63705025873","145193","438761","true","3","54187422262","1567","4610"
"","430931877787","893099","482513","true","3","54234943714","569","2782"
"","386519258341","909241","425101","true","3","226456829014","109","443"
"","449485064029","699073","642973","true","3","237377227881","331","1074"
"","34235573329","458191","74719","true","3","34058040986","593","1941"
"","519295801793","735733","705821","true","3","153704923963","191","599"
"","183739660619","694597","264527","true","3","107707683806","8269","27300"
"","46956307417","142619","329243","true","3","42940156378","167","482"
"","688236398791","803623","856417","true","3","285020716103","811","2532"
"","226622883647","654191","346417","true","3","17300411398","1031","3452"
"","1368085340201","1111949","1230349","true","3","164086724735","97","306"
"","143908731679","182243","789653","true","3","76150976709","4591","13793"
"","198219904609","589591","336199","true","3","1339080618","409","1139"
"","495919428133","564437","878609","true","3","57103434738","617","2877"
"","12939554011","71671","180541","true","3","9699565226","59","246"
"","138869432419","445033","312043","true","3","67216558545","397","1199"
"","653768714171","521471","1253701","true","3","333574732473","199","1035"
"","95018499133","257219","369407","true","3","21279727871","761","2102"
"","404233458049","343127","1178087","true","3","281585176654","6473","21450"
"","434911332629","363373","1196873","true","3","153988483308","89","940"
"","149610747841","121853","1227797","true","3","114351973027","743","2111"
"","71699448433","633337","113209","true","3","36906473628","89","283"
"","821643067891","795071","1033421","true","3","559497028198","129","413"
"","269368095049","373193","721793","true","3","9157387792","5639","18210"
"","173625546023","622151","279073","true","3","73515084099","19","121"
"","1431641467","3271","437677","true","3","1040433139","109","292"
"","220075279147","212123","1037489","true","3","92861490435","1063","4065"
"","251061620087","631457","397591","true","3","114909762866","457","1532"
"","527866261451","699319","754829","true","3","337157774238","38851","142553"
"","393060360233","533353","736961","true","3","169336687698","47","231"
"","168985225621","195311","865211","true","3","61436902689","2791","8680"
"","95646230623","1007789","94907","true","3","72947608155","6779","21826"
"","51691212607","973891","53077","true","3","19897567022","3607","11530"
"","736230640907","1082369","680203","true","3","55394371915","53","207"
"","591040432427","1090217","542131","true","3","393618007468","1063","3303"
"","16857789737","37003","455579","true","3","16837438088","881","2769"
"","198990772139","438937","453347","true","3","3068705844","2731","8290"
"","7209987839","152531","47269","true","3","299827268","101","245"
"","45147059249","108139","417491","true","3","18093276786","269","717"
"","1150109981","93787","12263","true","3","774493047","29","67"
"","189203797481","472831","400151","true","3","134236655216","151","453"
"","187701340669","1061317","176857","true","3","172867312961","317","908"
"","377293523041","1176223","320767","true","3","196196348847","97","318"
"","37167504403","79817","465659","true","3","6059154909","191","556"
"","460239170359","808261","569419","true","3","82062739331","709","3129"
"","780466598389","662537","1177997","true","3","89421956354","11831","41957"
"","30796157417","47939","642403","true","3","2010721391","401","2290"
"","176034869323","230939","762257","true","3","4721419859","71","199"
"","284917170037","316343","900659","true","3","7791211748","69","204"
"","594053017457","687341","864277","true","3","55286935414","10289","34584"
"","404091706429","898279","449851","true","3","128497239045","2999","10017"
"","148997044121","144737","1029433","true","3","80298862300","727","2136"
"","327399899143","874099","374557","true","3","47039115403","21","160"
"","945181981823","885127","1067849","true","3","141101635579","13411","48885"
"","1648954846757","1270531","1297847","true","3","798380964827","173","543"
"","155261441141","577573","268817","true","3","40408302624","317","980"
"","938964154819","1136627","826097","true","3","266083244074","19597","70522"
"","36724140797","116191","316067","true","3","32465973030","1291","3826"
"","163842431047","309317","529691","true","3","36086258758","47","276"
"","10583793749","90617","116797","true","3","434146048","241","753"
"","495571030267","396943","1248469","true","3","261700326374","151","486"
"","53084293121","1016921","52201","true","3","22487616590","29","133"
"","214936653731","194507","1105033","true","3","198157832660","1123","3443"
"","55199011487","211501","260987","true","3","14625082650","47","280"
"","32437473727","249287","130121","true","3","13195050127","3253","9566"
"","18450068137","108131","170627","true","3","9699999487","983","2707"
"","163130980681","476633","342257","true","3","9679462965","4583","14564"
"","577658617157","556781","1037497","true","3","418481610630","97","383"
"","3978435257","639517","6221","true","3","1871506978","311","842"
"","7284439187","404399","18013","true","3","4228299569","79","415"
"","416351109337","754627","551731","true","3","404640067132","347","1053"
"","148441775723","800057","185539","true","3","129304912186","107","298"
"","4554842701","227027","20063","true","3","288044492","1433","3702"
"","232051729583","327809","707887","true","3","107497421944","197","887"
"","333950174473","561713","594521","true","3","151846014090","167","545"
"","27915311989","420557","66377","true","3","4465894784","2237","6151"
"","846750774217","846161","1000697","true","3","673480693926","1511","4809"
"","301834509967","330431","913457","true","3","249191234341","191","673"
"","157365029651","189353","831067","true","3","134648350242","23669","79323"
"","119908815007","97387","1231261","true","3","66827154175","16231","53848"
"","19489881833","98953","196961","true","3","13158275176","31","110"
"","182370723247","228281","798887","true","3","132859998563","439","1258"
"","119358552659","270493","441263","true","3","60664395978","67","314"
"","338532117523","769309","440047","true","3","61190295539","281","932"
"","67424260721","362459","186019","true","3","24112154819","103","276"
"","131494880549","479623","274163","true","3","129067028924","43","118"
"","479585545489","386173","1241893","true","3","335740350893","631","1911"
"","71858416337","259397","277021","true","3","45822597653","19","73"
"","70664110277","523093","135089","true","3","37206617648","8443","26307"
"","509700858203","567389","898327","true","3","253935483053","349","1209"
"","138960142759","499729","278071","true","3","137894018546","31","170"
"","908303429377","819061","1108957","true","3","592281028443","73","223"
"","314567578459","470551","668509","true","3","36550061067","113","335"
"","12807150331","609487","21013","true","3","6175006259","103","299"
"","701715374587","736699","952513","true","3","178808597900","41","163"
"","574901302817","602047","954911","true","3","263186840355","8681","30642"
"","543466565651","1220497","445283","true","3","362272801529","541","2295"
"","22099918829","24781","891809","true","3","10211878386","59","252"
"","4465571753","272009","16417","true","3","143615917","19","70"
"","523528406551","564313","927727","true","3","140939993316","3359","11730"
"","650477253443","1232999","527557","true","3","436985942592","1009","3150"
"","588231142531","1232339","477329","true","3","500160600729","29833","108211"
"","317989048919","513881","618799","true","3","176047922386","443","1464"
"","1343792063407","1188289","1130863","true","3","40847434376","2063","6981"
"","849518524139","1271999","667861","true","3","313657145415","241","852"
"","78178289347","67211","1163177","true","3","63101450617","47","139"
"","1158566341939","956861","1210799","true","3","19779612465","331","2076"
"","95139104341","425197","223753","true","3","53190443913","127","429"
"","207602894833","550909","376837","true","3","148959897731","1013","3544"
"","36902418001","37087","995023","true","3","22517370491","149","471"
"","223617526001","1286837","173773","true","3","151917569791","1609","5447"
"","233953214123","1132249","206627","true","3","150848402022","191","557"
"","1479690248077","1237283","1195919","true","3","903164624115","14387","51530"
"","1078448232439","1200307","898477","true","3","929670179790","10529","39422"
"","237227922517","233371","1016527","true","3","55799706214","2593","8375"
"","849601369403","1107401","767203","true","3","534839246169","113","357"
"","26976785389","507359","53171","true","3","9798883591","409","1114"
"","107720744597","749993","143629","true","3","63554406821","389","1231"
"","126855410863","346309","366307","true","3","27162053798","28859","100963"
"","78893990129","303547","259907","true","3","16495351075","50591","173933"
"","407376673499","323273","1260163","true","3","297028728042","2377","8226"
"","937673882083","785717","1193399","true","3","415312399193","16127","59609"
"","15016155457","54139","277363","true","3","7043910749","811","2018"
"","65125369109","379649","171541","true","3","53548067020","953","3052"
"","640162627007","1040947","614981","true","3","387213561936","317","1159"
"","84196947463","644797","130579","true","3","74377276085","3109","9749"
"","222415793069","244813","908513","true","3","15707281258","89","576"
"","211796822899","771739","274441","true","3","17180453619","1063","3146"
"","57086537737","350437","162901","true","3","26083376348","53","142"
"","607005656407","506573","1198259","true","3","202623627698","397","1174"
"","85837679887","122561","700367","true","3","23261710118","383","1058"
"","661071724979","872231","757909","true","3","110834338434","569","1710"
"","860226547111","834571","1030741","true","3","202752347883","281","1244"
"","406998154897","640477","635461","true","3","299360593413","89","261"
"","761762011583","1137313","669791","true","3","68767630546","359","1353"
"","150657859763","924809","162907","true","3","99356490580","1429","4934"
"","910216743967","958687","949441","true","3","851147272153","43","144"
"","573092109413","1211911","472883","true","3","487865680250","199","581"
"","277528881361","401113","691897","true","3","88875553445","227","741"
"","14488306663","15149","956387","true","3","2248793306","541","1888"
"","583335263033","553099","1054667","true","3","65094774410","1013","3312"
"","336834440339","951749","353911","true","3","230105853981","251","763"
"","1493892521791","1264657","1181263","true","3","932507912409","313","2121"
"","78281690621","141403","553607","true","3","56352763745","2113","6340"
"","19924619023","244297","81559","true","3","15717336090","13","67"
"","582744229931","476863","1222037","true","3","126088776420","89","310"
"","1047185946277","907301","1154177","true","3","737559499196","127","434"
"","127945742131","116387","1099313","true","3","123152737452","541","1687"
"","234628359347","970457","241771","true","3","165004862797","89","255"
"","9329579071","932119","10009","true","3","5145616892","139","342"
"","134664187499","426197","315967","true","3","33041348623","2267","6912"
"","30962166293","56681","546253","true","3","13207183130","109","318"
"","29552808133","40763","724991","true","3","26695933279","229","734"
"","146014642331","443249","329419","true","3","104221137371","2131","6357"
"","699563580479","1039543","672953","true","3","424286099253","197","848"
"","1107655208519","1176463","941513","true","3","464571701104","823","2750"
"","717570858077","819769","875333","true","3","473273137926","34157","124522"
"","118236694091","117431","1006861","true","3","19802942149","173","546"
"","1002844338269","794173","1262753","true","3","281544652750","229","733"
"","136393256369","417203","326923","true","3","120343298608","103","344"
"","172557815293","408623","422291","true","3","156752730037","349","1107"
"","279327418823","777761","359143","true","3","145420232988","503","1470"
"","468493108423","509549","919427","true","3","283398415076","239","707"
"","69647167283","54727","1272629","true","3","23067673255","151","433"
"","475525528031","381943","1245017","true","3","93076835500","643","1901"
"","713054891251","845041","843811","true","3","316061389780","503","1712"
"","42863991799","47711","898409","true","3","24770034540","263","773"
"","453526954087","1021441","444007","true","3","375601220198","19","69"
"","378356853139","533129","709691","true","3","99594361620","647","2098"
"","535266046921","622351","860071","true","3","217479312249","461","1437"
"","1284020881529","1110713","1156033","true","3","52266563997","223","672"
"","94266569459","114473","823483","true","3","92708935349","349","950"
"","596710611907","623803","956569","true","3","532599444390","39857","147554"
"","219531306289","300073","731593","true","3","45891365705","1129","4123"
"","75331680233","327317","230149","true","3","39233852206","43","120"
"","434019623057","504017","861121","true","3","404127529785","23","99"
"","152567304859","379199","402341","true","3","18712075229","20117","67639"
"","266163750803","544123","489161","true","3","3699492278","43","175"
"","153946237397","487769","315613","true","3","61204304187","797","2497"
"","3383496769","11777","287297","true","3","3197078637","23","59"
"","104954819647","141509","741683","true","3","17282211153","2081","6733"
"","904499322817","1218941","742037","true","3","283411096147","1033","3733"
"","657771121807","778187","845261","true","3","196898478385","3251","10853"
"","70501844159","184039","383081","true","3","37569136752","157","428"
"","418501819907","783701","534007","true","3","102829989942","31","119"
"","1322847294149","1256911","1052459","true","3","1076805534048","4349","15370"
"","163087959899","353869","460871","true","3","38073473449","797","2468"
"","28579351643","255499","111857","true","3","6132486999","439","1311"
"","784452402299","903569","868171","true","3","312928764267","673","2253"
"","26954342461","25621","1052041","true","3","11532217069","61","160"
"","15011805863","20021","749803","true","3","5464131321","13","51"
"","7103180069","776219","9151","true","3","2798760143","61","146"
"","464930078537","761161","610817","true","3","13065375631","1193","3752"
"","795444224119","1016359","782641","true","3","731788118385","1087","4006"
"","253127754449","1276637","198277","true","3","9915634494","41","231"
"","63117959","19403","3253","true","3","33353758","109","275"
"","25001713201","44221","565381","true","3","8354629310","67","317"
"","369719431681","461957","800333","true","3","236038315022","10499","35876"
"","216253855547","635893","340079","true","3","84164253909","2789","9082"
"","90573819893","80933","1119121","true","3","13127289331","4663","14743"
"","37859977849","776599","48751","true","3","1332511084","20","75"
"","258823343591","655649","394759","true","3","103633316958","241","769"
"","156886603589","1094377","143357","true","3","18393419886","35839","127165"
"","253228533199","654001","387199","true","3","253061762945","109","309"
"","256359094861","730603","350887","true","3","39874850535","1097","4091"
"","505939783933","728729","694277","true","3","61627882802","26","85"
"","580403304953","670919","865087","true","3","29628364664","4651","15764"
"","78319818821","747619","104759","true","3","63564062619","2351","7537"
"","16695739063","730571","22853","true","3","3514791401","197","629"
"","424904996123","461147","921409","true","3","260063083206","4799","16471"
"","311374880851","259211","1201241","true","3","67913541212","46","214"
"","463593699089","1197103","387263","true","3","103586656293","853","2741"
"","197614103711","171161","1154551","true","3","106118246064","179","571"
"","181916085433","427333","425701","true","3","93175306376","43","145"
"","1002615031373","773251","1296623","true","3","554284101574","1031","3438"
"","767272249769","615607","1246367","true","3","709822573316","59","379"
"","203496191581","1295057","157133","true","3","61552610160","241","678"
"","569831990141","581029","980729","true","3","385594201660","211","676"
"","191978736379","1160813","165383","true","3","90025691403","10007","32483"
"","499843790653","390463","1280131","true","3","365440276702","601","1902"
"","411830434993","398863","1032511","true","3","313514737574","271","903"
"","1286389187117","1108487","1160491","true","3","247523446373","383","1283"
"","884004793703","1180819","748637","true","3","659958558282","197","665"
"","800332610789","1003133","797833","true","3","237528853672","191","1023"
"","1031874982291","1139779","905329","true","3","11769278","6287","22049"
"","141016282691","231961","607931","true","3","27640704722","1933","6761"
"","667720690361","1069039","624599","true","3","275126808002","6599","22962"
"","1460319660911","1156567","1262633","true","3","1253869064348","3221","13011"
"","156458862349","193433","808853","true","3","65061708762","593","1737"
"","79953546097","321733","248509","true","3","75809658523","59","156"
"","204047286329","220447","925607","true","3","169607953755","331","1005"
"","5247576637","10267","511111","true","3","1910011079","59","210"
"","167923296241","398473","421417","true","3","148739551568","1951","5996"
"","93081895601","209771","443731","true","3","10063134413","1907","6310"
"","75542926891","590027","128033","true","3","656169126","4001","13775"
"","178590897083","741401","240883","true","3","165479961800","337","1242"
"","376572599639","736447","511337","true","3","129926129668","397","1165"
"","79119114419","232451","340369","true","3","49375288617","1013","3497"
"","445387698097","811429","548893","true","3","298597792001","193","610"
"","109483570841","111263","984007","true","3","102658498290","54667","189850"
"","131240112569","1262519","103951","true","3","49338990788","10","56"
"","228566499481","289727","788903","true","3","221677950330","4673","15820"
"","98516100547","279137","352931","true","3","27230930899","61","210"
"","131001282941","200381","653761","true","3","33292125165","227","720"
"","67206542327","93133","721619","true","3","17453077135","113","438"
"","24849283183","482033","51551","true","3","3320243305","641",
