#### DATA MINER
Timestamp: 1558419337074
Algorithm: pol1
Max index for prime numbers picking: 500
Iterations limit: 100000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","107969","1069","101","true","104910","100264","3","9","43694"
"","1058429","2411","439","true","556513","293714","12","33","24243"
"","7366427","3221","2287","true","4115888","5887438","10","16","92987"
"","2357087","1583","1489","true","741898","2290072","6","65","463656"
"","487139","2917","167","true","239935","234925","20","7","3448"
"","7341641","2543","2887","true","6277232","5861504","4","8","15194"
"","1242281","577","2153","true","265397","240009","10","14","5567"
"","942737","619","1523","true","74170","492614","19","32","100009"
"","1520839","461","3299","true","1416697","1381200","9","10","3893"
"","2954597","3331","887","true","2080781","1075810","11","32","23644"
"","2288093","2609","877","true","1352657","9022","4","42","49461"
"","5920973","3001","1973","true","3542164","1821708","10","15","4436"
"","700793","487","1439","true","530444","26399","8","33","1445"
"","2381549","1471","1619","true","312082","375335","0","14","64"
"","3295289","3253","1013","true","2273043","2887934","21","17","11707"
"","170129","2789","61","true","144555","57813","13","10","21322"
"","2559353","2069","1237","true","1248230","2334455","43","33","16716"
"","795163","647","1229","true","144271","265260","2","16","248"
"","1223113","359","3407","true","27616","554628","14","4","3326"
"","2121347","1889","1123","true","152715","1736145","24","26","5141"
"","2326237","2381","977","true","939448","337616","3","6","2256"
"","2506139","743","3373","true","2058703","2016352","4","15","1847"
"","2699699","1499","1801","true","2040423","1647805","48","6","19514"
"","19111","659","29","true","8008","18552","7","20","490"
"","4936331","3049","1619","true","1253814","2549014","50","7","96661"
"","125161","47","2663","true","5293","47901","1","3","326"
"","998","2","499","true","752","582","0","2","518"
"","3787093","1399","2707","true","3300267","2133550","2","40","45954"
"","4389211","2633","1667","true","1256128","3729956","6","50","8076"
"","131503","1229","107","true","57256","90640","15","9","1689"
"","259349","223","1163","true","156054","175825","28","20","1994"
"","8977457","3547","2531","true","4591313","8709380","6","16","12790"
"","97627","233","419","true","40338","89035","5","14","383"
"","1831793","631","2903","true","282732","1600891","0","1","35"
"","1519387","2143","709","true","1260207","410116","14","5","12450"
"","7762159","2521","3079","true","228684","984984","53","17","41925"
"","339","113","3","true","105","218","0","3","32"
"","212137","307","691","true","13184","77654","0","1","30"
"","3777269","1427","2647","true","2614834","428412","26","4","6701"
"","1682743","971","1733","true","918386","1562159","60","5","7890"
"","327373","1217","269","true","245888","274402","3","15","1631"
"","2023729","683","2963","true","84114","1384871","4","23","7374"
"","4261657","1499","2843","true","2195896","1004191","0","52","99"
"","6620179","1877","3527","true","4129798","6528604","27","8","150998"
"","3442321","1129","3049","true","2878212","396326","22","20","18905"
"","3318473","1307","2539","true","1632731","1035432","1","22","1606"
"","3593591","1931","1861","true","697018","2921530","12","54","126035"
"","2733683","1493","1831","true","873457","380767","24","40","6474"
"","1386859","1019","1361","true","625605","802911","7","19","2654"
"","847307","673","1259","true","481928","329589","24","33","4974"
"","3448441","3319","1039","true","1969980","3006902","1","25","51103"
"","8303899","2837","2927","true","8242731","1001333","40","87","2622998"
"","3901","83","47","true","1433","3674","10","5","460"
"","335177","571","587","true","69233","48677","0","13","90"
"","7388399","2069","3571","true","5826803","2305365","9","33","18545"
"","2027261","1367","1483","true","1367819","1139437","50","58","55969"
"","5765621","1663","3467","true","235567","4635190","8","146","527870"
"","6195529","1787","3467","true","3927191","1975270","34","146","418298"
"","2148593","1801","1193","true","1321884","1024719","27","20","4141"
"","5267981","3061","1721","true","303966","692912","1","22","918"
"","7561049","2557","2957","true","4265008","4433557","2","87","5813"
"","45931","1997","23","true","44656","10616","1","2","115"
"","958891","547","1753","true","692708","387686","5","21","1187"
"","2313517","1901","1217","true","298741","1454549","5","126","182100"
"","7517051","3511","2141","true","4191790","5185214","12","44","5335"
"","3812519","2917","1307","true","2823610","1375454","48","20","16007"
"","3035449","2411","1259","true","408489","675397","2","33","17789"
"","211721","1097","193","true","92866","170066","2","8","346"
"","38093","11","3463","true","18244","36724","2","2","471"
"","3623153","2539","1427","true","2301782","2098662","20","46","5204"
"","703933","349","2017","true","525887","651876","10","29","196749"
"","3641699","2351","1549","true","3066545","2061244","9","33","26589"
"","26567","31","857","true","3103","22416","8","3","582"
"","953993","283","3371","true","317598","656915","15","8","4803"
"","8711993","3329","2617","true","5173195","1914104","13","81","100940"
"","401437","229","1753","true","88141","39364","0","4","32"
"","524339","251","2089","true","415273","471999","7","16","1512"
"","438751","541","811","true","260808","398763","2","2","1471"
"","201137","1021","197","true","128147","98006","17","7","4816"
"","3834977","2011","1907","true","702370","145526","63","82","195743"
"","1126123","1549","727","true","36174","603108","30","33","15676"
"","3865789","2467","1567","true","1286891","1040872","11","41","431883"
"","2570543","2767","929","true","1295834","189034","34","39","6460"
"","2437493","1637","1489","true","1335029","1938074","2","5","2089"
"","6233261","1801","3461","true","5480465","2589860","13","20","36880"
"","5271779","2203","2393","true","3305757","1177659","3","31","12975"
"","1730233","1117","1549","true","447059","454878","15","12","14167"
"","617047","337","1831","true","509336","558875","10","1","1867"
"","786637","463","1699","true","482983","752449","2","11","136"
"","699623","241","2903","true","535513","7000","5","13","1385"
"","2441993","727","3359","true","2227876","1455306","4","71","7061"
"","5064863","2549","1987","true","3851227","2225861","5","27","866"
"","1220207","797","1531","true","1187788","367172","10","14","10391"
"","2701711","3259","829","true","1415148","2153787","24","35","69170"
"","382121","1811","211","true","294639","197368","16","5","2409"
"","7723669","2267","3407","true","5289320","165900","18","33","24266"
"","2934287","953","3079","true","1158701","714603","47","5","10238"
"","246229","73","3373","true","199956","229375","4","1","609"
"","6848993","2129","3217","true","6074922","1561471","21","30","23452"
"","1741403","1559","1117","true","1245150","361603","5","17","3539"
"","506399","349","1451","true","84976","363129","6","29","20575"
"","5000609","2027","2467","true","1615559","723679","9","35","264328"
"","613891","1759","349","true","530715","404067","15","11","30220"
"","195031","101","1931","true","117812","72362","12","9","1933"
"","1555069","677","2297","true","1325737","836476","8","73","153533"
"","7070773","3119","2267","true","1187759","4021509","14","33","23050"
"","4548361","1483","3067","true","1664118","888167","46","21","135338"
"","43667","13","3359","true","30342","16172","1","4","762"
"","387823","547","709","true","378499","312562","1","2","116"
