"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","8749","673","13","true","7810","6822","2","1","100"
"","3157289","953","3313","true","1410032","2003059","40","67","36936"
"","9681733","3499","2767","true","5311218","1346107","85","16","167451"
"","4395931","1873","2347","true","4128980","3279366","10","33","36348"
"","289651","163","1777","true","249772","284165","13","10","1941"
"","2260213","821","2753","true","853796","41661","5","9","767"
"","1173209","1429","821","true","895175","236733","0","18","54"
"","791279","1321","599","true","294618","224535","0","27","52"
"","163313","829","197","true","72488","78792","48","4","5265"
"","3196513","2141","1493","true","2799019","1916656","17","40","21914"
"","1240787","2011","617","true","452284","743879","14","9","1769"
"","2762701","1039","2659","true","191245","2237036","28","25","73916"
"","2493697","2039","1223","true","357889","913131","10","34","3780"
"","4187","53","79","true","559","2929","2","7","101"
"","4658657","1471","3167","true","577497","4640758","61","61","119863"
"","956359","3529","271","true","387418","718038","2","10","1307"
"","1129697","2609","433","true","875524","1050327","10","42","17969"
"","56137","769","73","true","40827","46448","5","6","509"
"","334309","197","1697","true","50253","289530","5","29","1293"
"","5021297","2269","2213","true","1377926","4018035","32","21","14173"
"","291959","281","1039","true","74401","155443","5","25","692"
"","382441","1361","281","true","91688","293116","0","28","54"
"","261691","2591","101","true","159232","68547","9","58","10210"
"","2125183","2003","1061","true","832270","974483","14","8","1218"
"","3462143","1327","2609","true","989657","3387328","7","42","8687"
"","3296243","1531","2153","true","1243124","900797","4","6","1734"
"","2191643","2339","937","true","1330507","1622882","9","19","2291"
"","3492079","1039","3361","true","1468713","82687","16","25","16230"
"","4501139","2437","1847","true","2393974","2111383","10","59","92307"
"","1576481","839","1879","true","781762","1369889","0","20","142"
"","70307","167","421","true","70001","61651","0","7","176"
"","2999471","1429","2099","true","2299093","2592038","4","10","6289"
"","6487193","2551","2543","true","3974466","1525506","4","5","16264"
"","3983611","1151","3461","true","930640","2914964","13","28","122509"
"","960797","2753","349","true","350794","907798","1","29","792"
"","917551","773","1187","true","801858","692865","3","3","3250"
"","90131","193","467","true","69086","51137","8","8","1386"
"","1453811","1181","1231","true","611951","797832","10","35","24753"
"","6980093","3079","2267","true","4752041","3663881","27","33","15998"
"","336337","1061","317","true","107745","186259","27","2","2225"
"","7775249","2953","2633","true","3267963","2472797","18","2","8034"
"","4134929","3359","1231","true","2031016","1552157","0","35","66"
"","70087","643","109","true","68491","62704","3","10","188"
"","5615677","1831","3067","true","2658551","2944187","27","2","2929"
"","333461","2399","139","true","250568","70643","4","43","22130"
"","6172151","1747","3533","true","1036905","2329983","0","18","50"
"","1209413","2957","409","true","1003224","617946","3","1","74857"
"","9572611","3109","3079","true","6907668","8689125","10","39","17828"
"","414541","257","1613","true","45016","264384","11","58","22844"
"","408829","463","883","true","285620","115699","9","11","929"
"","3400939","967","3517","true","1198672","1488772","12","32","161291"
"","127783","2411","53","true","88482","13741","19","61","5362"
"","7742173","2837","2729","true","1690332","3920214","103","37","221612"
"","5371361","2399","2239","true","3069306","552755","64","43","69696"
"","6086797","2333","2609","true","846215","4152076","37","27","307585"
"","6267581","2029","3089","true","821730","5680727","5","96","870"
"","58483","251","233","true","14182","44006","14","2","2064"
"","1691407","3323","509","true","251044","182329","13","46","216738"
