#### DATA MINER - 1557690624519
#### Pollard 3 
"n","p","q","success","bInit","b","i","time (µs)"
"1363","47","29","true","3","262","7","1081"
"5561","67","83","true","3","1877","11","597"
"1537","29","53","true","3","407","7","2041"
"1139","67","17","true","3","494","6","1440"
"3431","47","73","true","3","2118","4","526"
"4661","79","59","true","3","1423","13","1905"
"5429","61","89","true","3","4454","5","189"
"1079","83","13","true","3","729","3","1693"
"473","11","43","true","3","408","5","1847"
"7031","89","79","true","3","6409","11","299"
"2911","41","71","true","3","2379","4","128"
"2537","59","43","true","3","517","7","180"
"1363","29","47","true","3","262","7","108"
"2627","37","71","true","3","2517","6","194"
"871","67","13","true","3","729","3","141"
"451","11","41","true","3","411","4","263"
"697","41","17","true","3","288","4","391"
"169","13","13","true","3","53","3","257"
"1207","17","71","true","3","103","6","85"
"781","11","71","true","3","375","5","129"
"1691","89","19","true","3","1426","6","113"
"5963","67","89","5963","3","1","11","144"
"5893","83","71","true","3","4190","7","178"
"2117","73","29","true","3","1242","4","240"
"527","17","31","true","3","373","5","167"
"2747","67","41","true","3","411","4","1017"
"7081","97","73","true","3","6498","4","234"
"533","13","41","true","3","196","3","234"
"323","17","19","323","3","1","6","256"
"1711","59","29","true","3","871","7","221"
"7387","83","89","true","3","3205","11","186"
"493","17","29","true","3","460","6","62"
"3007","31","97","true","3","1551","5","245"
"121","11","11","121","3","1","5","115"
"913","11","83","true","3","870","5","62"
"1541","23","67","1541","3","1","11","333"
"899","29","31","true","3","94","5","226"
"3977","97","41","true","3","2133","4","355"
"2881","43","67","true","3","947","7","68"
"2867","47","61","true","3","1465","5","52"
"5063","61","83","true","3","123","5","263"
"187","17","11","true","3","67","5","121"
"3827","43","89","true","3","1463","7","79"
"2117","73","29","true","3","1242","4","53"
"1241","73","17","true","3","220","4","121"
"361","19","19","true","3","324","6","56"
"517","11","47","true","3","243","5","67"
"899","29","31","true","3","94","5","49"
"1073","37","29","true","3","112","6","189"
"4331","71","61","true","3","3783","5","67"
"943","23","41","true","3","124","4","43"
