#### DATA MINER - 1557690164762
#### Pollard 3 
"n","p","q","success","bInit","b","i","time (µs)"
"4636515703","68023","68161","true","3","4356646638","71","14879"
"1775865919","53569","33151","true","3","210376247","17","962"
"1427257121","95539","14939","true","3","1026279423","97","3208"
"210473489","16063","13103","true","3","204273172","2677","164370"
"2639668643","77933","33871","true","3","539903741","1129","15676"
"5117529887","72551","70537","true","3","801761102","1451","21301"
"3569289923","56477","63199","true","3","1111862700","2017","11256"
"1020341879","82279","12401","true","3","380289067","31","609"
"4441027867","62683","70849","true","3","3597074580","41","772"
"4206140293","66797","62969","true","3","2454846466","463","3454"
"6129206731","88237","69463","true","3","3665717929","43","286"
"4765359551","92569","51479","true","3","933095521","29","659"
"2438862131","67733","36007","true","3","1482675371","59","233"
"2807759509","93971","29879","true","3","1268514530","9397","53614"
"1047762097","43889","23873","true","3","926277346","211","1007"
"3753257099","40507","92657","true","3","2668155584","157","544"
"6675211159","92857","71887","true","3","638577590","73","319"
"3995679607","42101","94907","true","3","1207456681","421","1569"
"3498745309","63467","55127","true","3","1728782721","641","2345"
"3822912659","79279","48221","true","3","859463640","181","566"
"1386106279","30203","45893","true","3","196054897","149","466"
"1601602369","56053","28573","true","3","1119714729","173","643"
"1781721793","34283","51971","true","3","879667498","281","850"
"4335600851","63929","67819","true","3","1981332086","127","447"
"1776828973","72497","24509","true","3","993426392","197","662"
"3994252411","53881","74131","true","3","1876107349","353","2409"
"3149422999","42157","74707","true","3","1671356423","1171","3798"
"3159830423","32371","97613","true","3","2102787790","83","309"
"1854623761","82183","22567","true","3","1238431827","3761","12301"
"1508299697","70769","21313","true","3","1206464992","37","136"
"2719802483","52967","51349","true","3","2439818922","373","2430"
"7523382829","99257","75797","true","3","5611792267","653","4707"
"4277940179","51133","83663","true","3","3138701109","709","5520"
"2011523413","63397","31729","true","3","1735619670","587","8666"
"5210893063","81769","63727","true","3","1889250643","43","422"
"418848629","19861","21089","true","3","163118394","331","2006"
"7591679903","90473","83911","true","3","376820046","263","2150"
"1867423589","52697","35437","true","3","1022163710","941","5830"
"6013190983","94781","63443","true","3","1300016197","677","4801"
"4689670001","86857","53993","true","3","3873474773","47","690"
"531921679","14731","36109","true","3","519861274","59","561"
"2823348007","37379","75533","true","3","672092635","821","4667"
"838473683","28393","29531","true","3","182850921","13","180"
"711401213","62039","11467","true","3","617463550","14","83"
"4905295763","89231","54973","true","3","2027624133","509","1979"
"2449498199","26183","93553","true","3","405365207","53","352"
"3369220397","59809","56333","true","3","866752029","89","281"
"3163397753","82727","38239","true","3","481884776","311","932"
"4132240081","81971","50411","true","3","3917539633","142","459"
"6646517729","88177","75377","true","3","3723714711","167","1202"
"4939844011","82217","60083","true","3","1352140783","239","917"
"6753727511","76991","87721","true","3","6289595701","43","167"
"4838931871","65323","74077","true","3","66956076","191","831"
"5724919373","84913","67421","true","3","5028462948","61","399"
"787790209","47569","16561","true","3","140536647","23","206"
"2482225997","72923","34039","true","3","2352911837","61","5379"
"779924471","24071","32401","true","3","428859637","10","231"
"916722817","26357","34781","true","3","473265068","47","336"
"1868306927","80527","23201","true","3","684731114","29","289"
"826106767","23431","35257","true","3","520847700","71","386"
"7427368649","90947","81667","true","3","3108082687","349","1374"
"9262702327","95791","96697","true","3","3671391697","79","2932"
"2339895497","80611","29027","true","3","808982491","631","2111"
"673534073","31817","21169","true","3","146193115","14","226"
"6965129933","91921","75773","true","3","1314929906","383","1483"
"3663506653","46187","79319","true","3","1673262637","3299","12502"
"7880110499","88721","88819","true","3","3241182949","131","465"
"1214008529","43627","27827","true","3","451757586","661","1933"
"1432679707","29021","49367","true","3","305794278","1451","5808"
