"n","p","q","success","bInit","b","i","time (µs)"
"1069612211","32971","32441","true","3","977590151","157","20789"
"4071269987","52163","78049","true","3","1925624929","271","21959"
"1603251361","82757","19373","true","3","488199601","167","2793"
"109433281","10753","10177","true","3","22473771","8","623"
"3362587009","53773","62533","true","3","999527473","193","1823"
"3285702529","83311","39439","true","3","2369455682","313","3545"
"6760407763","98731","68473","true","3","1509555759","317","11192"
"2725867831","59141","46091","true","3","1821700685","419","35047"
"1078413563","46723","23081","true","3","1021195765","577","5291"
"2717161813","94777","28669","true","3","1208311974","359","2984"
"6277630283","95143","65981","true","3","5645024477","157","3068"
"5233853309","62131","84239","true","3","2937180895","109","3937"
"6795425057","90677","74941","true","3","5714026428","1249","40782"
"439063327","13931","31517","true","3","26259936","199","13639"
"8453983801","86029","98269","true","3","4575538395","107","3982"
"1508804917","17807","84731","true","3","307658262","229","1066"
"1848665677","33113","55829","true","3","1625740481","821","4774"
"2641416949","49171","53719","true","3","2287877460","149","938"
"1459109737","17579","83003","true","3","1066342141","47","735"
"1890129727","39313","48079","true","3","163463455","13","627"
"1253199053","25643","48871","true","3","246065486","181","689"
"1099313291","37337","29443","true","3","1000071546","359","1315"
"1029682217","20521","50177","true","3","975290350","14","399"
"4651963307","73471","63317","true","3","3073732757","79","530"
"3957842039","89227","44357","true","3","3563863166","853","3380"
"948291893","23857","39749","true","3","856704871","71","1395"
"5584125427","89017","62731","true","3","4499192783","41","435"
"3060900229","77611","39439","true","3","169657647","199","868"
"5011015307","72379","69233","true","3","2253013513","4021","69670"
"1538339063","19387","79349","true","3","1517628975","239","1544"
"3692333849","67567","54647","true","3","145142433","307","818"
"3907279027","71263","54829","true","3","589915115","107","296"
"8362806671","88427","94573","true","3","5589453447","37","162"
"1764757493","39103","45131","true","3","836960613","19","71"
"2051805583","26249","78167","true","3","1098402685","22","90"
"3359622757","50101","67057","true","3","3136457062","127","356"
"1606784171","59197","27143","true","3","201808206","331","1979"
"2745344983","85843","31981","true","3","1749744473","41","185"
"756294491","37483","20177","true","3","514170492","97","330"
"4064550169","52387","77587","true","3","2124642409","193","859"
"996827119","11311","88129","true","3","292588281","17","72"
"1796575727","68501","26227","true","3","171472127","47","140"
"2707727287","48787","55501","true","3","808039060","37","132"
"6308308751","89387","70573","true","3","2835445028","239","707"
"5120556481","55103","92927","true","3","4821610323","479","2431"
"4482847777","71171","62987","true","3","2479231308","409","1328"
"1196979997","17659","67783","true","3","252695025","79","226"
"3181136263","43579","72997","true","3","2808413582","79","230"
"267148457","15443","17299","true","3","249520777","62","7796"
"1409093347","49171","28657","true","3","959080356","149","561"
"724294841","14879","48679","true","3","107921344","61","349"
"4280132191","56783","75377","true","3","901600475","89","332"
"482401421","24439","19739","true","3","464971885","139","632"
"2854819399","39157","72907","true","3","2517403531","251","787"
"3740109277","37511","99707","true","3","2516688013","31","156"
"8272767457","93559","88423","true","3","1744220438","503","1508"
"2362239259","45317","52127","true","3","781383731","389","1286"
"3922778549","39461","99409","true","3","511558715","109","501"
"7259078623","88667","81869","true","3","7158789099","211","803"
"144109621","12107","11903","true","3","140157826","541","1320"
"1167627107","37589","31063","true","3","1081768976","167","442"
"4224934849","48991","86239","true","3","44924748","23","92"
"1069137067","12983","82349","true","3","55009133","173","442"
"4264456459","60167","70877","true","3","438374246","47","206"
"3945430837","66029","59753","true","3","1337809918","97","292"
"745559567","50591","14737","true","3","67613357","307","786"
"793705439","13523","58693","true","3","324161440","73","222"
"3880128667","57457","67531","true","3","2014959534","19","82"
"3298033559","35879","91921","true","3","1979886420","383","1848"
"574060051","20297","28283","true","3","469733472","59","178"
"7979272739","95869","83231","true","3","7400983752","41","172"
"4949430979","74161","66739","true","3","1681229871","103","315"
"748531493","65701","11393","true","3","84031580","73","213"
"2968754827","57667","51481","true","3","149912673","13","60"
"814094753","17569","46337","true","3","361710573","61","157"
"1661637881","35911","46271","true","3","1262163918","19","62"
"9416947391","99833","94327","true","3","7528426525","199","1672"
"5818133809","81547","71347","true","3","5732731451","47","426"
"2943232087","48473","60719","true","3","74454529","83","383"
"2040288101","50023","40787","true","3","1141024631","397","6669"
"5319041381","77369","68749","true","3","2197768033","337","2721"
"3378782773","38449","87877","true","3","1598171135","89","457"
"2361480259","99923","23633","true","3","395569155","211","609"
"4088791277","75577","54101","true","3","3109313358","67","232"
"4609389013","73643","62591","true","3","208615804","569","2204"
"870949883","10667","81649","true","3","390363870","15","72"
"1926233899","65003","29633","true","3","41367669","463","1200"
"347317981","10513","33037","true","3","119101778","73","211"
"836054161","60773","13757","true","3","637279269","181","554"
"7723797611","89821","85991","true","3","3701972516","499","1513"
"2079323413","24133","86161","true","3","1559083296","359","937"
"784459121","31337","25033","true","3","640018712","149","406"
"6844603729","80111","85439","true","3","5510034581","8011","59023"
"3137208937","70289","44633","true","3","120334769","191","504"
"1117781941","18803","59447","true","3","752608879","79","265"
"3085379257","36107","85451","true","3","1490350892","1709","5715"
"1734750991","40763","42557","true","3","372492295","229","1045"
"1021981963","71713","14251","true","3","599140543","19","112"
"7308155479","88867","82237","true","3","707813860","89","429"
"1955558173","75659","25847","true","3","1090019214","181","656"
"5053732259","87509","57751","true","3","2742941497","15","90"
"3167386531","73679","42989","true","3","1158233881","197","553"
"4267758197","98017","43541","true","3","3981258418","311","876"
"7302632147","77591","94117","true","3","6814729620","31","128"
"664983931","35149","18919","true","3","626987863","101","309"
"2897395759","71317","40627","true","3","2312041944","61","201"
"5245484441","57527","91183","true","3","2831049785","167","625"
"4736981401","99871","47431","true","3","3809468197","31","298"
"4545437903","50923","89261","true","3","2558422444","41","285"
"5313922433","73121","72673","true","3","169567600","457","1714"
"7735275151","95383","81097","true","3","5894859834","109","795"
"2713382429","27823","97523","true","3","1956151662","4637","15522"
"6878227757","95413","72089","true","3","5948714312","7951","29834"
"1969202509","55799","35291","true","3","1376393934","1213","6462"
"1271973817","20483","62099","true","3","463755604","14","179"
"6572411623","70321","93463","true","3","1473013988","293","1605"
"829837829","65357","12697","true","3","420829369","46","284"
"1023055921","29443","34747","true","3","814717254","701","4275"
"1210450057","18481","65497","true","3","499781684","7","72"
"1832631523","48809","37547","true","3","238920056","6101","40059"
"4146634693","84551","49043","true","3","272676976","89","492"
"1022531557","73877","13841","true","3","16474572","73","410"
"1793667053","71807","24979","true","3","1133197315","181","1100"
"1902490781","89449","21269","true","3","1356770780","409","2485"
"2284916237","52817","43261","true","3","757413589","103","736"
