26	2	true	17	13	0	2	5749
95	5	true	39	29	0	1	217
118	2	true	63	109	0	2	852
123	3	true	67	8	0	2	1043
143	11	true	70	15	0	1	377
161	7	true	97	131	0	2	706
205	5	true	171	31	1	1	6811
213	3	true	22	4	0	1	192
215	5	true	140	190	0	2	347
217	7	true	183	83	0	2	519
274	2	true	154	256	0	2	245
301	7	true	207	149	0	3	334
323	17	true	101	267	1	2	390
346	2	true	23	63	0	1	126
358	2	true	71	53	0	1	241
411	3	true	204	351	0	2	226
481	13	true	111	204	0	2	220
485	97	true	102	376	0	2	142
493	29	true	352	91	1	1	428
511	7	true	176	131	0	2	249
514	2	true	85	291	0	2	342
517	11	true	39	459	0	3	249
551	19	true	421	544	0	7	286
573	3	true	391	572	0	1	134
597	3	true	535	473	0	2	128
698	2	true	51	119	0	1	91
737	67	true	138	540	0	1	125
745	5	true	610	740	0	2	5636
753	3	true	537	81	0	2	339
785	5	true	297	657	0	3	162
831	3	true	473	569	0	2	128
838	2	true	809	617	0	1	97
849	3	true	680	673	0	1	117
862	2	true	546	418	0	1	83
869	11	true	652	186	0	5	166
943	23	true	892	570	0	5	223
974	2	true	379	311	0	1	80
1006	2	true	750	632	0	1	113
1046	2	true	540	880	0	1	136
1079	13	true	486	421	0	6	458
1099	7	true	620	966	1	2	670
1101	3	true	1026	111	0	2	238
1126	2	true	246	908	0	1	212
1133	11	true	1025	1009	0	2	212
1189	41	true	491	129	0	5	214
1207	17	true	250	243	0	5	294
1211	7	true	15	1203	0	1	278
1219	23	true	729	870	0	3	174
1238	2	true	872	66	0	1	235
1271	31	true	239	74	1	3	1322
1343	17	true	839	601	0	2	183
1355	5	true	652	692	0	1	143
1371	3	true	248	494	0	1	97
1418	2	true	902	532	0	1	126
1441	11	true	844	355	0	2	227
1461	3	true	64	1169	0	2	129
1502	2	true	1435	1019	0	2	128
1565	5	true	1421	991	0	3	160
1591	37	true	335	751	0	3	135
1651	13	true	633	1005	0	1	135
1679	23	true	384	1502	0	4	167
1691	19	true	729	174	0	6	394
1727	157	true	1181	710	0	1	52
1762	2	true	1502	1230	0	1	1713
1763	41	true	1723	452	0	1	144
1781	13	true	916	358	0	2	110
