#### DATA MINER
Timestamp: 1558419997135
Algorithm: pol1
Max index for prime numbers picking: 500
Iterations limit: 100000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","1615577","1031","1567","true","1350853","805537","1","41","143"
"","3988807","3571","1117","true","542675","1754620","5","17","6339"
"","10063","29","347","true","3008","6459","3","2","196"
"","2973571","1321","2251","true","976002","1079548","47","45","1102082"
"","3416209","1279","2671","true","326260","2147556","3","15","979"
"","5588689","2683","2083","true","818638","5283150","1","12","177"
"","3118279","2939","1061","true","435432","1934322","11","20","1824"
"","3031649","1663","1823","true","1324018","2740894","37","2","103804"
"","313541","241","1301","true","2426","241739","5","1","7176"
"","1941529","787","2467","true","1440297","1821205","2","35","105611"
"","5229227","1543","3389","true","42774","2726862","37","32","5861"
"","192523","2437","79","true","99801","62197","3","1","509"
"","1160633","1637","709","true","115635","537490","0","14","90"
"","837971","1367","613","true","19764","299905","97","6","7588"
"","891581","983","907","true","360464","629843","8","1","7294"
"","5680529","3557","1597","true","1535367","5081696","2","66","931"
"","5229227","3389","1543","true","240164","3388545","0","32","67"
"","164737","257","641","true","12791","21272","0","5","33"
"","387767","401","967","true","253685","179226","6","32","15912"
"","6667987","2003","3329","true","5842326","59853","3","81","6937"
"","3793303","1663","2281","true","3065196","1176528","17","71","454290"
"","22309","7","3187","true","15083","12017","3","1","246"
"","1036169","2393","433","true","110999","87617","0","30","57"
"","15047","367","41","true","8489","12958","6","7","630"
"","16517","83","199","true","15930","9562","7","6","359"
"","2588683","1447","1789","true","842622","1981411","26","30","2151"
"","4316723","2663","1621","true","2536833","2590326","17","44","2981"
"","1435843","719","1997","true","595280","442133","1","12","261"
"","7354943","2711","2713","true","7140299","2997891","25","42","847165"
"","2225477","853","2609","true","1020414","1578276","8","4","3334"
"","6482309","2617","2477","true","1721022","3068510","76","99","696153"
"","6504007","2213","2939","true","4684997","6377861","106","20","116690"
"","322481","389","829","true","278022","2999","1","13","167"
"","4259051","3229","1319","true","1127037","2170004","8","35","1298"
