#### DATA MINER
Timestamp: 1558422000956
Algorithm: pol1
Max index for prime numbers picking: 500
Iterations limit: 100000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","2535371","2543","997","true","1198989","2499077","2","22","29259"
"","694643","1381","503","true","628281","52404","7","28","6283"
"","1386523","467","2969","true","1220777","489922","0","19","350"
"","5317297","1583","3359","true","1584115","426942","7","65","1034114"
"","8453371","3109","2719","true","7176895","3718327","12","1","213170"
"","5686781","2347","2423","true","5354243","2446310","3","14","70857"
"","118511","3203","37","true","46668","25578","2","1","887"
"","472981","239","1979","true","381561","94606","5","46","2170"
"","10098239","3061","3299","true","3534730","10083245","11","40","57780"
"","11203601","3191","3511","true","914807","7705081","26","18","12924"
"","2306419","739","3121","true","228858","2078575","16","13","5268"
"","3945317","2381","1657","true","715558","3111580","0","85","196"
"","7776217","2741","2837","true","2896038","5514589","8","37","83986"
"","20803","293","71","true","7362","19858","2","5","447"
"","8380753","3119","2687","true","5420241","6387131","24","84","19087"
"","2408551","727","3313","true","1479245","2280991","52","67","71544"
"","422771","1009","419","true","280498","41249","24","14","4747"
"","523423","647","809","true","133668","1680","7","45","2631"
"","1071989","2621","409","true","456836","703054","24","22","6651"
"","6533563","2657","2459","true","3608133","1559786","29","89","3574118"
"","45509","17","2677","true","29254","35187","0","6","51"
"","2651171","877","3023","true","1507204","2124612","24","66","23764"
"","238057","2357","101","true","53526","106551","16","9","6487"
"","8029991","3539","2269","true","2045526","672394","1","67","1002"
"","1026523","1117","919","true","598132","640406","25","25","16933"
"","2737531","1471","1861","true","1214779","33044","22","1","3004"
"","1547059","1801","859","true","899113","882792","6","1","636"
"","6452449","2423","2663","true","1186145","2598754","0","69","137"
"","4843529","2341","2069","true","2663563","1238022","24","3","84469"
"","4348087","3389","1283","true","2306664","2289719","17","32","23640"
"","2321533","1201","1933","true","2205929","996522","36","32","5665"
"","3009623","1013","2971","true","410046","2406558","3","102","860"
"","6329513","2441","2593","true","1020553","3276463","12","39","5717"
"","584021","1733","337","true","82558","352158","28","4","13745"
"","827663","2161","383","true","630220","559748","0","10","40"
"","2317247","1597","1451","true","1808257","1224955","4","31","1108"
"","36317","1579","23","true","34919","33340","3","8","569"
"","1658777","3463","479","true","130551","1227461","43","4","39372"
"","394057","389","1013","true","360279","322546","0","7","39"
"","490439","283","1733","true","172879","201462","16","8","4501"
"","656947","1201","547","true","445405","166773","18","24","5987"
"","81877","41","1997","true","44424","81406","3","7","533"
"","2103379","1123","1873","true","1945256","469332","2","39","677"
"","3068327","1483","2069","true","966391","2452357","10","58","216994"
"","533383","1511","353","true","375142","22848","4","4","1337"
"","1415129","401","3529","true","53807","1152146","18","29","138560"
"","332621","487","683","true","179617","326204","6","4","28733"
