#### DATA MINER - 1557729301687
#### Pollard 3 
"n","p","q","success","bInit","b","i","time (µs)"
"1836015653276137","43698283","42015739","true","3","1218599684984177","983","23037"
"4265413545294689","74663657","57128377","true","3","757880531072168","1039","11561"
"3371905012283783","38556919","87452657","true","3","260630429266133","433","4930"
"1602566672280569","22794067","70306307","true","3","611809352360777","1266337","5093729"
"908885898016823","57301633","15861431","true","3","379566991119762","49741","191703"
"3516801490074001","39091853","89962517","true","3","3312112247662172","16649","64650"
"357024558339181","32327957","11043833","true","3","57388201330917","7603","28925"
"4625922236660453","62496689","74018677","true","3","183747577772614","3906043","15965747"
"693973199920621","29880811","23224711","true","3","473135275648794","347","1247"
"2548920606708781","52631573","48429497","true","3","1164791342062775","5417","19560"
"1402336731346337","31086529","45110753","true","3","152715526932756","359","1241"
"2398302587496311","25940767","92453033","true","3","2227903681390489","577","2066"
"205939315440763","10629527","19374269","true","3","118984631905607","4843567","18155636"
"3871077853914311","42602701","90864611","true","3","2047251580409903","20287","78243"
"1902561823158397","66798113","28482269","true","3","808374063997751","1627","5761"
"5015108805224467","56509769","88747643","true","3","4387150269796327","59359","228732"
"675664800244531","17899907","37746833","true","3","256985563816671","7643","26469"
"1925667698554597","82979909","23206433","true","3","1424241334546936","725201","2806877"
"5052578580166489","51061111","98951599","true","3","4501067162827713","293","1325"
"961438723893629","61004341","15760169","true","3","832913206084265","4447","16354"
"4455315843740873","48431059","91992947","true","3","3970211904563395","620911","2460662"
"1232414225332669","21017333","58637993","true","3","385041996234597","20287","76074"
"1221663169842097","12379573","98683789","true","3","904902640742683","991","4198"
"3603960376040539","73363421","49124759","true","3","589585336067165","757","2808"
"777022367506409","23690581","32798789","true","3","618946160304156","3109","10877"
"2877439663869149","65104933","44196953","true","3","427847277607911","82457","315403"
"3904978356430211","75650147","51618913","true","3","1117778757661547","4933","18194"
"4255413876027023","71279297","59700559","true","3","465796591549274","983","3460"
"520265829293299","14919629","34871231","true","3","512285170544910","2251","7450"
"166709620202561","14371099","11600339","true","3","63980535138773","5107","16573"
"1529253221296529","18628529","82092001","true","3","63203730103535","227","761"
"3132559043441939","90170959","34740221","true","3","2046865230118118","4733","18636"
"2026153339085027","84965821","23846687","true","3","1418414201517973","52067","195978"
"4068859691049757","59599037","68270561","true","3","2658010725517993","1471","5218"
"4112710284205879","75911369","54177791","true","3","880291995182498","2347","8741"
"934374631990867","66301951","14092717","true","3","511841912050763","281","922"
"1574713583249921","51056353","30842657","true","3","888959643858057","491","1643"
"6890249170852087","80419259","85679093","true","3","4863554264990890","363047","1446599"
"1421034097771429","46665149","30451721","true","3","979942685286248","373","1293"
"1931650700894399","93749987","20604277","true","3","1053159061327079","7433","26767"
"4109007871725479","85800329","47890351","true","3","3566767121681483","3433","12260"
"1676060067804623","77510711","21623593","true","3","703246929831901","10321","37273"
"2013432483981731","97584911","20632621","true","3","1271669456532668","991","3823"
"3022200642788377","52030637","58085021","true","3","1983175877829618","4903","17535"
"5547881841857191","68887999","80534809","true","3","3466929632296953","4201","15757"
"4123769495402917","96142063","42892459","true","3","3228523195357539","1867","7644"
"1685019693027103","32862293","51275171","true","3","1386024749150044","8191","30763"
"2012598042591289","38004259","52957171","true","3","1620912619821086","14107","52768"
"831728538302957","20993281","39618797","true","3","352013887271612","71","257"
"5954778130109383","66743177","89219279","true","3","5241995772944601","757","2815"
"5344067270177411","90843773","58827007","true","3","648667780855949","23831","91251"
"1375045401603941","39815653","34535297","true","3","1206553178653165","269","904"
"4604544875054203","90681277","50777239","true","3","314013808675656","199","684"
"1083921372363601","37096613","29218877","true","3","960551392306282","2837","9920"
"3529598939321281","78951049","44706169","true","3","764247846087453","61","208"
"3503493647471869","83666461","41874529","true","3","1992820643727179","11789","44717"
"2675260939987219","56545337","47311787","true","3","538932729154257","30367","116195"
"3312540317255341","36661021","90355921","true","3","2316946355179718","55547","213969"
"3030366701406389","37118069","81641281","true","3","1690589629670700","907","3228"
"352312973685719","21476159","16404841","true","3","190295670477134","42443","152153"
"670256435452897","24745403","27086099","true","3","306843516853464","1823","6161"
"5839420925210101","73099237","79883473","true","3","4289774773023093","8623","32515"
"1655082280420033","21662959","76401487","true","3","1007094605054071","103","343"
"934506337353289","79818667","11707867","true","3","625410160349715","38261","139341"
"790121312662889","14401733","54862933","true","3","211986510517763","73","238"
"3521115339502993","36227803","97193731","true","3","2842063936017204","464459","1820202"
"1097147149793137","17024641","64444657","true","3","721153901443580","8867","31124"
"3821161921893083","50700019","75368057","true","3","1143633940380607","26161","99733"
"569887280332763","14371411","39654233","true","3","495961460719314","1327","5052"
"1094195672866991","78792061","13887131","true","3","945072321169233","6599","23582"
"7500324283212751","82199827","91245013","true","3","211855258123641","7727","30698"
"5073250806581059","88180931","57532289","true","3","2359017765187828","503","1814"
"2826086515080529","32472059","87031331","true","3","1129517939835322","7013","25924"
"1674861253614919","27548747","60796277","true","3","1674152551413931","179","614"
"2402356111128637","29402929","81704653","true","3","1231584237916637","4129","14880"
"1152002742014167","62792879","18346073","true","3","728587834157735","15391","57030"
"6221677518038963","66041453","94208671","true","3","2809637791736698","4787","18547"
"2425768341489313","35785381","67786573","true","3","392174337458245","27827","104954"
"1068819780736583","18765713","56955991","true","3","975444249543481","673","2313"
"1140804859117531","31290653","36458327","true","3","653131020404468","2521","8826"
"2135693851672879","55013879","38821001","true","3","331740071979965","397","1398"
"2876362168739383","54989419","52307557","true","3","1860741473291488","75743","288606"
"6758208711502777","67752109","99749053","true","3","4951427108925681","3833","13878"
"1426541668155719","23345239","61106321","true","3","568839104736255","9421","33560"
"3664974150478213","60123341","60957593","true","3","768297776896655","383","1319"
"3172024966076737","37894943","83705759","true","3","1544097057113313","6823","25506"
"6135401289464833","83848207","73172719","true","3","2543052798297810","239","825"
"2944112196347797","85644491","34375967","true","3","2332991964838717","26003","97659"
"1742052298794217","86060521","20242177","true","3","1117183981856897","71","237"
"1898125380201637","27744713","68413949","true","3","90638925452571","1093","4607"
"3384377672905297","70705589","47865773","true","3","2546785124493498","293","1025"
"1222409701937443","84108863","14533661","true","3","1033903584265212","13711","50924"
"1777409416817381","21959653","80939777","true","3","1369277034285661","191","654"
"2721715151105011","42061037","64708703","true","3","231529033508061","11551","43671"
"984714628403893","43706297","22530269","true","3","200040137452647","5463287","21428835"
"3811244441417947","77652779","49080593","true","3","921003037260092","991","3491"
"5707769552158391","71456921","79877071","true","3","4947630477213667","199","696"
"3227883505528667","68207311","47324597","true","3","1903827223885894","3847","14291"
"1397710114086103","77882969","17946287","true","3","1116738127531466","88843","330456"
"4754261683167533","76828751","61881283","true","3","4726484786044741","61463","236164"
"1342550097464599","31925671","42052369","true","3","97006320704463","479","1650"
"2098337864945963","96662171","21707953","true","3","432805590838404","106","348"
